,HH_ID,F2,Fuel_roster_name,F3,F3_oth,F_4,F_4oth,F_5,F_6,F_7,F_8,F_9,F_10,F_4_text,F_11,F_12,F_13_1,F_13oth,F_14__1,F_14__2,F_14__3,F_14__4,F_14__5,F_14__6,F_14__7,F_14__8,F_14__111
128,1001500181901.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
129,1001500181901.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
130,1001500182001.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
131,1001500182001.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
132,1001500182001.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
133,1001500182001.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
134,1001500182001.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
135,1001500182103.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
136,1001500182103.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
137,1001500182103.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
138,1001500182103.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
139,1001500182103.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
140,1001500920601.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
141,1001500920601.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
142,1001500920601.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
143,1001500920601.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
144,1001500920601.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
145,1001500920603.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
146,1001500920603.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
147,1001500920603.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
148,1001500920603.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
149,1001500920603.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
150,1001500920801.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
151,1001500920801.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
152,1001500920801.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
153,1001500920801.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
154,1001500920801.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
155,1001500920902.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
156,1001500920902.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
157,1001500920902.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
158,1001500920902.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
159,1001500920902.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
160,1001500921301.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
161,1001500921301.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
162,1001500921301.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
163,1001500921301.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
164,1001500921301.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
165,1001500921501.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
166,1001500921501.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
167,1001500921501.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
168,1001500921501.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
169,1001500921501.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
170,1001500921507.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
171,1001500921507.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
172,1001500921507.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
