HHID,Id,R1_A,R2_A,R3_A,R3_A_SO,R4_A,R9_A,R10_A,R11_A,R12_A,R13_A,R14_A,R15_A,R16_A,R17_A,R18_A,R19_A,R20_A,R21_A,R22_A,R23_A,R24_A,R25_A,R26_A,R27_A,R28_A
110148910,Women (Age 15 yrs and older),No,,, ,,No,,Yes,10.0,No,,No,,No,,No,,No,,No,,No,,No,
110148911,Women (Age 15 yrs and older),Yes,120.0,Monthly, ,1.0,Yes,15.0,Yes,180.0,No,,No,,No,,Yes,480.0,Yes,120.0,No,,No,,Yes,120.0
110148911,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,480.0,No,,Yes,60.0
110148911,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,480.0,No,,No,,Yes,240.0
110148912,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110148912,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110148912,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110148912,Women (Age 15 yrs and older),No,,, ,,No,,Yes,180.0,Yes,60.0,No,,No,,Yes,900.0,No,,No,,No,,Yes,120.0
110148913,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,480.0,No,
110148913,Women (Age 15 yrs and older),Yes,240.0,Monthly, ,1.0,Yes,20.0,Yes,250.0,No,,No,,Yes,50.0,No,,No,,No,,No,,Yes,30.0
110148914,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110148914,Women (Age 15 yrs and older),No,,, ,,No,,Yes,180.0,No,,No,,No,,No,,No,,No,,No,,Yes,180.0
110148915,Women (Age 15 yrs and older),Yes,30.0,Monthly, ,1.0,Yes,10.0,Yes,198.0,No,,No,,Yes,60.0,Yes,480.0,No,,No,,Yes,240.0,Yes,120.0
110148915,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,60.0
110148915,Men(Age 15 yrs and older,Yes,20.0,Monthly, ,1.0,No,,No,,No,,No,,No,,No,,No,,No,,Yes,480.0,Yes,120.0
110148915,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,60.0
110149001,Women (Age 15 yrs and older),No,,, ,,No,,Yes,280.0,No,,No,,No,,No,,No,,No,,No,,No,
110149001,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149001,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,420.0,No,,No,
110149001,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149002,Men(Age 15 yrs and older,No,,, ,,Yes,20.0,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149002,Women (Age 15 yrs and older),No,,, ,,No,,Yes,180.0,No,,No,,No,,No,,No,,No,,No,,No,
110149003,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149003,Women (Age 15 yrs and older),No,,, ,,Yes,20.0,Yes,300.0,No,,No,,No,,No,,No,,No,,No,,No,
110149004,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149004,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,540.0,No,,No,
110149004,Women (Age 15 yrs and older),No,,, ,,No,,Yes,280.0,No,,No,,No,,No,,No,,No,,No,,No,
110149005,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,600.0,No,,No,
110149005,Women (Age 15 yrs and older),No,,, ,,Yes,10.0,Yes,360.0,No,,No,,No,,No,,No,,No,,No,,No,
110149006,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149006,Women (Age 15 yrs and older),No,,, ,,No,,Yes,150.0,Yes,60.0,No,,No,,Yes,1440.0,No,,No,,No,,No,
110149006,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149007,Women (Age 15 yrs and older),No,,, ,,No,,Yes,60.0,Yes,240.0,No,,Yes,240.0,No,,No,,No,,Yes,480.0,Yes,120.0
110149007,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,Yes,120.0,Yes,480.0,No,,Yes,60.0
110149007,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,480.0,No,,No,,Yes,120.0
110149008,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149008,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,360.0,No,,No,
110149008,Women (Age 15 yrs and older),No,,, ,,No,,Yes,150.0,Yes,30.0,No,,No,,No,,No,,No,,No,,No,
110149009,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,480.0,No,,No,
110149009,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,240.0
110149009,Women (Age 15 yrs and older),No,,, ,,Yes,30.0,Yes,120.0,Yes,480.0,No,,Yes,240.0,Yes,720.0,Yes,120.0,No,,Yes,240.0,Yes,60.0
110149010,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,Yes,60.0,No,,No,,Yes,660.0,No,
110149010,Women (Age 15 yrs and older),No,,, ,,No,,Yes,185.0,No,,No,,No,,Yes,360.0,No,,No,,No,,No,
110149010,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149011,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,480.0,No,,Yes,60.0
110149011,Women (Age 15 yrs and older),Yes,58.0,Monthly, ,1.0,Yes,20.0,Yes,310.0,No,,No,,Yes,30.0,No,,No,,No,,No,,Yes,120.0
110149012,Women (Age 15 yrs and older),No,,, ,,No,,Yes,80.0,No,,No,,No,,No,,No,,No,,No,,No,
110149012,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149013,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,340.0
110149013,Women (Age 15 yrs and older),No,,, ,,Yes,30.0,Yes,120.0,Yes,120.0,No,,Yes,120.0,No,,No,,No,,Yes,340.0,Yes,120.0
110149014,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149014,Women (Age 15 yrs and older),No,,, ,,No,,Yes,150.0,Yes,60.0,No,,No,,Yes,1440.0,No,,No,,No,,No,
110149014,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,Yes,30.0,No,,No,,No,,No,
110149015,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,480.0,Yes,120.0
110149015,Women (Age 15 yrs and older),Yes,30.0,Monthly, ,2.0,Yes,20.0,Yes,30.0,No,,No,,No,,Yes,1440.0,No,,No,,No,,Yes,60.0
110149015,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,600.0,No,,No,,Yes,120.0
110149101,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149101,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149101,Women (Age 15 yrs and older),No,,, ,,Yes,10.0,Yes,420.0,No,,No,,No,,Yes,1440.0,Yes,120.0,No,,No,,Yes,120.0
110149101,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,540.0,No,,No,
110149102,Women (Age 15 yrs and older),No,,, ,,No,,Yes,350.0,No,,No,,No,,No,,No,,No,,No,,No,
110149102,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,Yes,120.0,No,,No,,Yes,120.0
110149102,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149103,Women (Age 15 yrs and older),No,,, ,,No,,Yes,170.0,No,,No,,No,,No,,No,,No,,No,,No,
110149104,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,Yes,120.0,Yes,540.0,No,,Yes,40.0
110149104,Women (Age 15 yrs and older),No,,, ,,No,,Yes,300.0,No,,No,,No,,No,,Yes,120.0,No,,No,,No,
110149104,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149105,Women (Age 15 yrs and older),No,,, ,,No,,Yes,360.0,No,,No,,No,,No,,Yes,60.0,Yes,420.0,No,,Yes,30.0
110149105,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,Yes,120.0,Yes,360.0,No,,No,
110149105,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149106,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149106,Women (Age 15 yrs and older),No,,, ,,No,,Yes,135.0,No,,No,,No,,Yes,300.0,No,,No,,No,,No,
110149106,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149106,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,Yes,180.0,No,,No,,No,,No,
110149107,Women (Age 15 yrs and older),No,,, ,,No,,Yes,210.0,No,,No,,Yes,120.0,No,,No,,No,,No,,Yes,180.0
110149107,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,480.0,No,,No,,Yes,120.0
110149108,Women (Age 15 yrs and older),No,,, ,,No,,Yes,160.0,No,,No,,No,,No,,No,,No,,No,,Yes,60.0
110149109,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,460.0,No,,No,,Yes,120.0
110149109,Women (Age 15 yrs and older),No,,, ,,No,,Yes,280.0,Yes,120.0,No,,Yes,60.0,Yes,240.0,Yes,60.0,No,,Yes,480.0,Yes,60.0
110149110,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,60.0
110149110,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149110,Women (Age 15 yrs and older),No,,, ,,No,,Yes,150.0,No,,No,,No,,Yes,180.0,No,,No,,No,,No,
110149110,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,180.0,Yes,224.0
110149111,Women (Age 15 yrs and older),No,,, ,,No,,Yes,170.0,Yes,60.0,No,,Yes,240.0,No,,No,,No,,Yes,240.0,Yes,60.0
110149111,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,240.0
110149112,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149112,Women (Age 15 yrs and older),No,,, ,,No,,Yes,120.0,No,,No,,No,,No,,No,,No,,No,,No,
110149113,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,480.0,Yes,120.0
110149113,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,60.0
110149113,Women (Age 15 yrs and older),No,,, ,,No,,Yes,270.0,Yes,120.0,No,,No,,No,,No,,No,,Yes,480.0,Yes,120.0
110149114,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
