HHID,Id,C141,C41_Recode,C142,C142_B,C143,C144,C145,C146,C148,C149,C150,C151,C152,C153,C153_SO,C154_FULL,C154_PARTIAL,C155,C156,C157,C158,C159,C160,C160_SO,C160_SO_RECODE
110941311,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941312,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941313,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941314,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941315,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941401,Solar lighting system,888,888,Yes,Yes,Yes,Solar lighting system,2.0,40.0,60.0,No,4.0,0.0,"Bought, fully paid",, ,12000.0,,,,No,Yes,4.0,Cannot power large appliances, , 
110941402,Solar lighting system,888,888,Yes,No,Yes,Solar lighting system,3.0,888.0,,No,2.0,2.0,"Bought, fully paid",, ,12000.0,,,,No,Yes,4.0,Maintenance and availability of spare parts, , 
110941403,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941404,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941405,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941406,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941407,Solar lighting system,888,888,Yes,Yes,Yes,Solar lighting system,3.0,888.0,,No,6.0,0.0,"Bought, fully paid",, ,12000.0,,,,No,No,3.0,Breaks too often, , 
110941408,Solar lighting system,40,888,Yes,Yes,Yes,Solar lighting system,3.0,60.0,888.0,No,7.0,0.0,"Bought, fully paid",, ,13000.0,,,,No,No,3.0,Cannot power large appliances, , 
110941409,Solar lighting system,SURYA URJA,SURYA URJA,Yes,Yes,Yes,Solar lighting system,3.0,60.0,40.0,No,2.0,0.0,"Bought, fully paid",, ,20000.0,,,,No,Yes,3.0,Cannot power large appliances, , 
110941410,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941411,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941412,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941413,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941414,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110941415,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145201,Solar lantern,Nisa Max,NISA MAX,No,No,Yes,Solar Lantern,,,,No,2.0,1.0,Received for free,Local private organizations (NGO), ,,,,,,No,3.0,No problems, , 
111145202,Solar lantern,Nisa Max,NISA MAX,No,No,Yes,Solar Lantern,,,,No,2.0,0.0,Received for free,Local private organizations (NGO), ,,,,,,No,1.0,No problems, , 
111145203,Solar lantern,Nisamax,NISAMAX,Yes,No,No,Solar Lantern,,,,No,2.0,2.0,Received for free,Local private organizations (NGO), ,,,,,,No,3.0,Duration of service too short, , 
