"","HHID","Id","J4","J5","J6","J7","J7_SO","J7_SO_RECODE","J8","J9","J10","J11","J12","J13","J14","J15__111","J15__1","J15__2","J15__3","J15__4","J15__5","J15__6","J15__7","J15__8","J15__9","J15__10","J15__11","J15__12","J15__888","J16","J17","J17_SO","J17_SO_RECODE","J17A","J17B","J18","J19","J20_A","J20A_SO","J20_B","J20B_SO","J21_A","J21_B","J22","J23","J24","J25","J26","J27","J28","J29","J30","J31__111","J31__1","J31__2","J31__3","J31__4","J31__5","J31__6","J31__7","J31__8","J31__9","J31__10","J31__11","J31__12","J32","J33__9","J33__1","J33__2","J33__3","J33__4","J33__5","J33__6","J33__7","J33__8","J33__10","J33A","J33A_SO","J33A_SO_RECODE","J34","J35__1","J35__2","J35__3","J35__4","J35__5","J35__6","J35__7","J35__8","J35__9","J35__10","J35__555","J35_SO","J35_SO_RECODE","J37_A","J37_B"
"22","110148906",3,1,0,2000,NA,"","",NA,1,"TWO POTHOLO MUD ICS(RAISED OR PLAIN ) WITH CHIMNEY",888,2,2,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,3,7,2,60,0,60,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1000,NA
"23","110148906",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"","",NA,NA,NA,NA,2,"",NA,"",1,NA,3,7,2,0,0,0,0,120,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1000,NA
"24","110148907",3,1,1,800,NA,"","",NA,1,"AEPC,TWO POTHOLO MUD ICS(RAISED OR PLAIN ) WITH CHIMNEY",888,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,1,1,2,"",NA,"",1,NA,10,7,3,120,60,120,40,60,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",100,NA
"25","110148908",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"","",NA,NA,NA,NA,2,"",NA,"",1,NA,3,7,2,0,0,0,0,240,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1000,NA
"26","110148908",3,1,0,1500,NA,"","",NA,1,"TWO POTHOLO MUD ICS(RAISED OR PLAIN ) WITH CHIMNEY",888,2,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,3,7,2,60,0,60,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1000,NA
"27","110148909",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,11,7,3,120,20,40,20,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",70,NA
"28","110148910",3,1,1,1000,NA,"","",NA,1,"2 POT HOLE MICS WITH ASHTRAY",888,2,2,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,3,7,2,60,0,60,30,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",500,NA
"29","110148911",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,10,7,3,40,20,60,60,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",80,NA
"30","110148912",3,1,1,1500,NA,"","",NA,1,"TWO POTHOLO MUD ICS(RAISED OR PLAIN ) WITH CHIMNEY",888,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,4,7,2,90,0,90,30,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1000,NA
"31","110148912",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"","",NA,NA,NA,NA,2,"",NA,"",1,NA,5,7,2,0,0,0,0,120,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1000,NA
"32","110148913",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,"","",2,2,2,NA,2,"",NA,"",1,NA,7,7,3,60,30,120,40,50,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",70,NA
"33","110148914",3,1,1,1500,NA,"","",NA,1,"TWO POTHOLO MUD ICS(RAISED OR PLAIN ) WITH CHIMNEY",888,2,2,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,3,7,3,60,30,60,30,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",500,NA
"34","110148915",3,2,NA,NA,555,"affai la banako","Self built",1,NA,"TWO POTHOLO MUD ICS(RAISED OR PLAIN ) WITH CHIMNEY",888,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,1,2,2,"",NA,"",1,NA,10,7,3,68,30,40,30,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",70,NA
"35","110149001",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"","",2,2,2,NA,2,"",NA,"",1,NA,10,7,2,0,0,0,0,60,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",2,0,0,1,0,0,0,0,0,0,0,0,"","",0,NA
"36","110149001",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,10,7,3,90,60,90,20,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",8,NA
"37","110149002",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,10,7,3,80,50,60,30,60,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1200,NA
"38","110149003",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,"","",2,2,2,NA,2,"",NA,"",1,NA,8,7,3,80,50,80,30,60,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1500,NA
"39","110149004",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,8,7,3,90,40,80,30,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1000,NA
"40","110149005",7,1,0,5000,NA,"","",NA,2,"SURYA",2500,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"","",2,2,2,NA,1,"",16,"",1,NA,0,7,2,20,20,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",2,0,1,0,0,0,0,0,0,0,0,0,"","",500,NA
"41","110149005",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",16,"",1,NA,15,7,2,90,60,90,30,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1200,NA
"42","110149006",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,1,7,3,60,30,60,150,70,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",2000,NA
"43","110149007",7,1,0,3500,NA,"","",NA,2,"SURYA",888,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"","",NA,NA,2,NA,1,"",NA,"",1,NA,5,7,4,60,30,120,60,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1500,NA
"44","110149008",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,1,7,3,60,30,60,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1000,NA
"45","110149009",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,"","",2,2,1,2,2,"",13,"",1,1,10,7,2,30,20,60,60,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",200,50
"46","110149009",7,1,0,4000,NA,"","",NA,2,"LAXMI",888,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"","",2,2,2,NA,1,"",16,"",1,NA,5,5,3,60,30,60,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",2,0,0,0,0,0,0,0,0,0,1,0,"","",1000,NA
"47","110149010",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",16,"",1,NA,1,4,3,30,15,30,30,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",300,NA
"48","110149010",7,1,1,4000,NA,"","",NA,2,"SURYA",888,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"","",2,2,2,NA,1,"",16,"",1,NA,0,3,3,30,20,30,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",2,0,0,0,0,0,0,0,0,0,1,0,"","",650,NA
"49","110149011",7,1,0,4000,NA,"","",NA,2,"LAXMI",888,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"","",NA,NA,2,NA,1,"",16,"",1,NA,5,3,2,30,0,60,20,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",500,NA
"50","110149011",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,"","",NA,NA,2,NA,2,"",9,"",1,1,10,7,3,50,60,30,60,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",2,0,0,0,0,0,0,0,0,0,1,0,"","",0,NA
"51","110149012",3,2,NA,NA,4,"","",1,NA,"TWO POTHOLO MUD ICS(RAISED OR PLAIN ) WITH CHIMNEY",888,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,3,7,2,40,0,40,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",75,NA
"52","110149013",3,1,1,5500,NA,"","",NA,1,"TWO POTHOLO MUD ICS(RAISED OR PLAIN ) WITH CHIMNEY",888,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"","",1,2,1,1,2,"",NA,"",1,NA,10,7,3,60,30,120,120,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",100,NA
"53","110149014",3,1,1,1800,NA,"","",NA,1,"TWO POTHOLO MUD ICS(RAISED OR PLAIN ) WITH CHIMNEY",888,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,2,7,3,60,30,60,150,60,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",20,NA
