,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,a8,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,D1_a,D1_b,D2,D3,D4
122,04360100202,4,36,1,2,2,1,2,6451.0,0,0,100,3,0,0,0,0,0,4,-777.0,50,1,1,1.0,1,1
123,04360100202,4,36,1,2,2,1,8,8000.0,0,4,0,0,0,0,0,0,0,10,-777.0,70,1,2,3.0,1,1
124,04360100513,4,36,1,5,13,1,5,7000.0,0,250,0,0,0,0,0,0,0,4,-777.0,25,1,1,2.0,1,1
125,04360101005,4,36,1,10,5,1,5,1700.0,0,6,10,0,0,0,1,0,0,10,-777.0,50,1,1,2.0,1,1
126,04360101005,4,36,1,10,5,1,10,7000.0,0,5,100,2,0,0,0,0,0,4,-777.0,25,1,1,0.0,1,1
127,04360101402,4,36,1,14,2,1,4,5000.0,0,4,20,0,0,0,0,2000,4000,10,-777.0,50,1,1,2.0,1,1
128,04381000108,4,38,10,1,8,1,1,930.0,0,0,0,0,0,0,0,0,0,4,-777.0,75,1,1,0.5,1,1
129,04381001704,4,38,10,17,4,2,4,500.0,6,2,10,1,1,1,0,0,0,1,1500.0,2,1,1,12.0,1,3
130,04381100101,4,38,11,1,1,1,1,2000.0,1,0,2,1,0,0,0,0,0,4,-777.0,50,1,1,0.1,1,1
131,04381100116,4,38,11,1,16,1,11,3870.0,0,160,50,20,0,0,0,0,0,4,-777.0,50,1,1,2.0,1,1
132,04381100116,4,38,11,1,16,1,111,2958.0,0,0,0,10,0,0,0,0,0,4,-777.0,50,1,1,1.0,1,1
133,04381100516,4,38,11,5,16,1,16,2000.0,0,0,0,2,0,0,0,0,0,4,-777.0,1,1,1,1.5,1,1
134,04381100606,4,38,11,6,6,1,6,6000.0,0,20,0,0,0,0,0,0,0,4,-777.0,50,1,1,0.5,1,1
135,04390300402,4,39,3,4,2,2,1,1825.0,0,0,0,2,0,0,0,0,5,1,20000.0,30,3,3,15.0,2,5
