,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,a8,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
119,04340300103,4,34,3,1,3,1,1,1,4,1,1,,1,1,2,,2,
120,04340900114,4,34,9,1,14,1,2,3,3,1,1,,2,1,1,2.0,2,
121,04350204302,4,35,2,43,2,2,4,2,4,2,2,,2,2,2,,2,
122,04360100202,4,36,1,2,2,1,2,3,16,1,1,,2,1,2,,2,
123,04360100202,4,36,1,2,2,1,8,1,4,1,1,,1,1,2,,2,
124,04360100513,4,36,1,5,13,1,5,3,16,1,1,,1,1,2,,2,
125,04360101005,4,36,1,10,5,1,5,1,16,1,1,,1,1,2,,2,
126,04360101005,4,36,1,10,5,1,10,3,16,1,1,,1,1,1,4.0,2,
127,04360101402,4,36,1,14,2,1,4,3,16,1,1,,1,1,2,,2,
128,04381000108,4,38,10,1,8,1,1,1,4,1,1,,1,1,2,,2,
129,04381001704,4,38,10,17,4,2,4,1,4,2,2,,2,2,2,,2,
130,04381100101,4,38,11,1,1,1,1,1,4,1,1,,2,1,2,,2,
131,04381100116,4,38,11,1,16,1,11,1,4,1,1,,2,1,2,,2,
132,04381100116,4,38,11,1,16,1,111,1,4,1,1,,1,1,2,,2,
133,04381100516,4,38,11,5,16,1,16,1,4,1,2,,2,2,2,,1,7.0
134,04381100606,4,38,11,6,6,1,6,1,4,1,2,,2,1,2,,2,
135,04390300402,4,39,3,4,2,2,1,2,4,2,2,,2,2,2,,2,
136,04390300601,4,39,3,6,1,2,1,2,4,2,1,3.0,1,2,1,4.0,1,7.0
137,04390302201,4,39,3,22,1,2,1,2,4,2,2,,2,2,2,,2,
138,04391000302,4,39,10,3,2,2,1,2,4,2,2,,2,2,2,,2,
139,05400100401,5,40,1,4,1,2,6,1,4,2,2,,2,2,2,,2,
140,05400101101,5,40,1,11,1,2,8,1,4,2,2,,2,2,2,,1,7.0
141,05400101201,5,40,1,12,1,2,7,1,4,2,2,,2,2,2,,2,
142,05400300103,5,40,3,1,3,1,3,1,4,2,2,,2,1,2,,2,
143,05400301101,5,40,3,11,1,2,1,1,4,2,2,,2,2,2,,2,
144,05400401501,5,40,4,15,1,2,2,1,4,1,2,,2,2,2,,2,
145,05410415801,5,41,4,158,1,2,1,2,3,2,2,,2,2,2,,2,
146,05410603406,5,41,6,34,6,2,4,2,4,2,2,,2,2,2,,2,
147,05410700901,5,41,7,9,1,2,2,2,4,2,2,,2,2,2,,1,2.0
148,05420299912,5,42,2,999,12,1,5,2,3,1,1,,1,1,1,4.0,2,
149,06460301303,6,46,3,13,3,2,13,2,4,888,2,,2,2,2,,2,
150,06460500108,6,46,5,1,8,1,5,1,4,1,1,3.0,2,2,2,,2,
151,06460701104,6,46,7,11,4,2,12,2,6,2,2,,2,2,2,,2,
152,06460701302,6,46,7,13,2,2,11,2,6,2,2,,2,2,2,,2,
153,06470300204,6,47,3,2,4,1,2,2,4,1,1,3.0,1,1,1,1.0,2,
154,06470300314,6,47,3,3,14,1,3,1,3,1,1,2.0,1,1,1,1.0,2,
155,06470301201,6,47,3,12,1,2,1,2,4,2,2,,2,2,2,,2,
156,06470305101,6,47,3,51,1,2,1,1,4,2,1,3.0,1,2,1,4.0,2,
157,06480200101,6,48,2,1,1,1,1,1,4,2,2,,2,2,2,,2,
158,06480201401,6,48,2,14,1,2,1,1,4,2,2,,2,2,2,,2,
159,06490800103,6,49,8,1,3,1,4,2,4,1,1,3.0,1,1,2,,2,
160,07500600204,7,50,6,2,4,2,2,1,4,2,2,,2,2,2,,2,
161,07500601802,7,50,6,18,2,2,1,1,4,2,2,,2,2,2,,1,7.0
162,07500901704,7,50,9,17,4,2,3,1,4,2,1,3.0,2,2,1,1.0,1,1.0
163,07501400105,7,50,14,1,5,1,1,2,4,1,1,3.0,1,1,2,,2,
164,07510100104,7,51,1,1,4,1,1,2,4,1,2,,2,1,2,,2,
165,07511000702,7,51,10,7,2,2,4,1,4,2,2,,2,2,2,,2,
166,07511100128,7,51,11,1,28,1,1,2,4,1,2,,2,2,2,,2,
167,07511100224,7,51,11,2,24,1,1,2,4,1,1,3.0,2,1,2,,2,
168,07520100101,7,52,1,1,1,1,1,1,4,1,1,3.0,1,2,2,,2,
169,07520301304,7,52,3,13,4,2,18,1,4,2,2,,2,2,2,,2,
170,07520500901,7,52,5,9,1,2,17,1,4,2,2,,2,2,2,,2,
171,07520701406,7,52,7,14,6,2,19,2,4,2,2,,2,2,2,,2,
172,07530300603,7,53,3,6,3,2,1,1,4,2,2,,2,2,2,,2,
173,07530302901,7,53,3,29,1,2,2,1,4,2,2,,2,2,2,,2,
174,07530400605,7,53,4,6,5,1,1,1,16,1,2,,2,1,2,,2,
175,07540401003,7,54,4,10,3,2,4,1,4,2,2,,2,2,2,,2,
176,07540401303,7,54,4,13,3,2,3,1,4,2,2,,2,2,2,,2,
177,07540700103,7,54,7,1,3,1,1,1,4,1,1,3.0,2,2,2,,1,555.0
178,07540700202,7,54,7,2,2,1,1,1,3,1,1,3.0,1,1,2,,2,
179,07540700315,7,54,7,3,15,1,3,1,3,1,1,,2,1,2,,2,
180,07550200101,7,55,2,1,1,2,16,1,4,2,2,,2,2,2,,2,
181,07550200109,7,55,2,1,9,1,1,1,4,1,1,,1,1,1,1.0,1,1.0
182,07551300102,7,55,13,1,2,1,1,1,4,1,1,,1,1,1,2.0,1,2.0
183,07551300206,7,55,13,2,6,1,1,1,16,1,1,,1,1,1,2.0,1,2.0
184,07551300314,7,55,13,3,14,1,1,2,4,1,2,,2,2,2,,2,
185,07560201903,7,56,2,19,3,2,9,1,4,2,2,,2,2,2,,2,
186,07560202402,7,56,2,24,2,2,8,1,4,2,2,,2,2,2,,2,
187,07570900601,7,57,9,6,1,2,1,1,4,2,2,,2,2,2,,2,
188,07570901802,7,57,9,18,2,2,1,1,4,2,2,,2,2,2,,2,
189,07580600101,7,58,6,1,1,2,12,1,4,1,2,,2,2,2,,2,
190,07580601309,7,58,6,13,9,2,13,1,4,2,2,,2,2,2,,2,
191,07590401603,7,59,4,16,3,2,1,1,4,2,2,,2,2,1,4.0,2,
192,07590800501,7,59,8,5,1,2,1,1,4,2,2,,2,2,2,,2,
193,07610101505,7,61,1,15,5,2,11,1,4,2,2,,2,2,2,,2,
194,07610101604,7,61,1,16,4,2,10,1,4,2,2,,2,2,2,,2,
195,07630101203,7,63,1,12,3,2,14,1,4,2,2,,2,2,2,,2,
196,07630102501,7,63,1,25,1,2,15,1,4,2,2,,2,2,2,,2,
197,07640101801,7,64,1,18,1,2,22,1,4,2,2,,2,2,2,,2,
198,07640300502,7,64,3,5,2,2,23,1,4,2,2,,2,2,2,,2,
199,07650101206,7,65,1,12,6,2,21,1,4,555,2,,2,2,2,,2,
200,07650105703,7,65,1,57,3,2,20,1,4,2,2,,2,2,2,,2,
201,07661900106,7,66,19,1,6,1,1,1,16,1,1,,1,1,1,1.0,1,2.0
202,07661900421,7,66,19,4,21,1,1,3,16,1,1,,1,1,2,,2,
203,12670500701,12,67,5,7,1,2,1,1,4,2,2,,2,2,2,,2,
204,12690101901,12,69,1,19,1,2,1,1,4,2,2,,2,2,2,,2,
205,13700100901,13,70,1,9,1,1,2,2,3,1,1,,1,1,2,,2,
206,13700101407,13,70,1,14,7,1,9,1,16,1,1,3.0,1,1,2,,1,1.0
207,13700101901,13,70,1,19,1,1,4,2,4,1,1,3.0,1,1,2,,1,1.0
208,14720100113,14,72,1,1,13,1,2,3,3,1,1,2.0,1,1,2,,2,
209,14720100211,14,72,1,2,11,1,4,3,3,1,1,2.0,1,1,2,,1,1.0
210,14720100326,14,72,1,3,26,1,3,1,3,1,1,2.0,1,1,2,,2,
211,14720100702,14,72,1,7,2,1,1,1,4,1,1,2.0,1,1,2,,2,
212,14750400317,14,75,4,3,17,1,4,1,16,1,1,2.0,1,1,2,,2,
213,14750400612,14,75,4,6,12,1,5,1,4,1,2,,2,1,2,,2,
214,14750401001,14,75,4,10,1,1,7,1,4,1,1,,2,1,2,,2,
215,14760500507,14,76,5,5,7,1,9,3,16,1,1,3.0,2,1,1,1.0,1,1.0
216,14760500517,14,76,5,5,17,1,8,3,16,1,1,3.0,2,1,1,1.0,1,1.0
217,14760500527,14,76,5,5,27,1,7,3,16,1,1,3.0,2,1,1,1.0,1,1.0
218,14760500532,14,76,5,5,32,1,10,3,16,1,1,3.0,2,1,1,1.0,1,1.0
219,14760500802,14,76,5,8,2,1,11,3,16,1,1,3.0,2,1,1,1.0,1,1.0
220,14760500811,14,76,5,8,11,1,12,3,16,1,1,3.0,2,1,1,1.0,1,1.0
221,15710100415,15,71,1,4,15,1,9,3,14,1,1,3.0,1,1,2,,2,
222,15710100605,15,71,1,6,5,1,10,3,3,1,2,,1,1,2,,2,
223,15710100810,15,71,1,8,10,1,11,1,4,1,2,,1,1,2,,2,
224,15710101201,15,71,1,12,1,2,3,1,4,1,2,,2,2,2,,2,
