,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,A8,Item,KH_a,KH_b,KH_86,KH_87,KH_88
48,01010400404,1,1,4,4,4,2,1,9,2,,1.0,2.0,
49,01010400404,1,1,4,4,4,2,1,10,2,,1.0,2.0,
50,01010400404,1,1,4,4,4,2,1,11,2,,1.0,2.0,
51,01010400404,1,1,4,4,4,2,1,12,2,,1.0,2.0,
52,01010400404,1,1,4,4,4,2,1,13,2,,2.0,1.0,
53,01010400404,1,1,4,4,4,2,1,14,2,,2.0,2.0,
54,01010400404,1,1,4,4,4,2,1,15,2,,1.0,2.0,
55,01010400404,1,1,4,4,4,2,1,16,2,,1.0,2.0,
56,01010400404,1,1,4,4,4,2,1,17,2,,1.0,2.0,
57,01010400404,1,1,4,4,4,2,1,18,2,,1.0,2.0,
58,01010400404,1,1,4,4,4,2,1,19,2,,1.0,2.0,
59,01010400404,1,1,4,4,4,2,1,20,2,,1.0,2.0,
60,01010400804,1,1,4,8,4,2,1,1,2,,1.0,1.0,
61,01010400804,1,1,4,8,4,2,1,2,2,,1.0,1.0,
62,01010400804,1,1,4,8,4,2,1,3,2,,1.0,1.0,
63,01010400804,1,1,4,8,4,2,1,4,2,,1.0,1.0,
64,01010400804,1,1,4,8,4,2,1,5,2,,1.0,1.0,
65,01010400804,1,1,4,8,4,2,1,6,2,,1.0,1.0,
66,01010400804,1,1,4,8,4,2,1,7,2,,1.0,1.0,
67,01010400804,1,1,4,8,4,2,1,8,2,,1.0,1.0,
68,01010400804,1,1,4,8,4,2,1,9,2,,1.0,1.0,
69,01010400804,1,1,4,8,4,2,1,10,2,,1.0,1.0,
70,01010400804,1,1,4,8,4,2,1,11,2,,1.0,1.0,
71,01010400804,1,1,4,8,4,2,1,12,2,,1.0,1.0,
72,01010400804,1,1,4,8,4,2,1,13,2,,1.0,1.0,
73,01010400804,1,1,4,8,4,2,1,14,2,,1.0,1.0,
74,01010400804,1,1,4,8,4,2,1,15,2,,1.0,1.0,
75,01010400804,1,1,4,8,4,2,1,16,2,,1.0,1.0,
76,01010400804,1,1,4,8,4,2,1,17,2,,1.0,1.0,
77,01010400804,1,1,4,8,4,2,1,18,2,,1.0,1.0,
78,01010400804,1,1,4,8,4,2,1,19,2,,1.0,1.0,
79,01010400804,1,1,4,8,4,2,1,20,2,,1.0,1.0,
80,01020600113,1,2,6,1,13,1,8,1,1,29.0,,,
81,01020600113,1,2,6,1,13,1,8,2,1,3.0,,,
82,01020600113,1,2,6,1,13,1,8,3,1,12.0,,,
83,01020600113,1,2,6,1,13,1,8,4,1,1.0,,,
84,01020600113,1,2,6,1,13,1,8,5,2,,2.0,2.0,
85,01020600113,1,2,6,1,13,1,8,6,2,,2.0,2.0,
86,01020600113,1,2,6,1,13,1,8,7,1,1.0,,,
87,01020600113,1,2,6,1,13,1,8,8,2,,2.0,2.0,
88,01020600113,1,2,6,1,13,1,8,9,1,16.0,,,
89,01020600113,1,2,6,1,13,1,8,10,2,,1.0,2.0,
90,01020600113,1,2,6,1,13,1,8,11,1,2.0,,,1.0
91,01020600113,1,2,6,1,13,1,8,12,1,1.0,,,1.0
92,01020600113,1,2,6,1,13,1,8,13,1,3.0,,,1.0
93,01020600113,1,2,6,1,13,1,8,14,2,,1.0,2.0,
94,01020600113,1,2,6,1,13,1,8,15,1,3.0,,,1.0
95,01020600113,1,2,6,1,13,1,8,16,1,1.0,,,1.0
96,01020600113,1,2,6,1,13,1,8,17,2,,1.0,2.0,
97,01020600113,1,2,6,1,13,1,8,18,2,,1.0,2.0,
98,01020600113,1,2,6,1,13,1,8,19,1,2.0,,,1.0
99,01020600113,1,2,6,1,13,1,8,20,2,,1.0,2.0,
100,01020801604,1,2,8,16,4,2,12,1,1,3.0,,,
101,01020801604,1,2,8,16,4,2,12,2,1,1.0,,,
102,01020801604,1,2,8,16,4,2,12,3,1,1.0,,,
103,01020801604,1,2,8,16,4,2,12,4,2,,1.0,1.0,
104,01020801604,1,2,8,16,4,2,12,5,2,,1.0,1.0,
105,01020801604,1,2,8,16,4,2,12,6,2,,1.0,1.0,
106,01020801604,1,2,8,16,4,2,12,7,2,,1.0,1.0,
107,01020801604,1,2,8,16,4,2,12,8,2,,1.0,1.0,
108,01020801604,1,2,8,16,4,2,12,9,1,4.0,,,
109,01020801604,1,2,8,16,4,2,12,10,1,1.0,,,
110,01020801604,1,2,8,16,4,2,12,11,1,2.0,,,1.0
111,01020801604,1,2,8,16,4,2,12,12,2,,1.0,1.0,
