,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,a8,F2,F3
202,02080300404,2,8,3,4,4,2,8,5,1
203,02080300404,2,8,3,4,4,2,8,6,1
204,02080300404,2,8,3,4,4,2,8,7,1
205,02080300404,2,8,3,4,4,2,8,8,1
206,02080300404,2,8,3,4,4,2,8,9,2
207,02090100104,2,9,1,1,4,1,1,1,1
208,02090100104,2,9,1,1,4,1,1,2,2
209,02090100104,2,9,1,1,4,1,1,3,2
210,02090100104,2,9,1,1,4,1,1,4,2
211,02090100104,2,9,1,1,4,1,1,5,2
212,02090100104,2,9,1,1,4,1,1,6,2
213,02090100104,2,9,1,1,4,1,1,7,2
214,02090100104,2,9,1,1,4,1,1,8,2
215,02090100104,2,9,1,1,4,1,1,9,2
216,02090200123,2,9,2,1,23,1,1,1,2
217,02090200123,2,9,2,1,23,1,1,2,2
218,02090200123,2,9,2,1,23,1,1,3,2
219,02090200123,2,9,2,1,23,1,1,4,2
220,02090200123,2,9,2,1,23,1,1,5,2
221,02090200123,2,9,2,1,23,1,1,6,2
222,02090200123,2,9,2,1,23,1,1,7,2
223,02090200123,2,9,2,1,23,1,1,8,2
224,02090200123,2,9,2,1,23,1,1,9,2
225,02100100401,2,10,1,4,1,2,6,1,1
226,02100100401,2,10,1,4,1,2,6,2,2
227,02100100401,2,10,1,4,1,2,6,3,2
228,02100100401,2,10,1,4,1,2,6,4,1
229,02100100401,2,10,1,4,1,2,6,5,1
230,02100100401,2,10,1,4,1,2,6,6,2
231,02100100401,2,10,1,4,1,2,6,7,1
232,02100100401,2,10,1,4,1,2,6,8,1
233,02100100401,2,10,1,4,1,2,6,9,2
234,02100100501,2,10,1,5,1,2,7,1,1
235,02100100501,2,10,1,5,1,2,7,2,1
236,02100100501,2,10,1,5,1,2,7,3,2
237,02100100501,2,10,1,5,1,2,7,4,2
238,02100100501,2,10,1,5,1,2,7,5,2
239,02100100501,2,10,1,5,1,2,7,6,2
240,02100100501,2,10,1,5,1,2,7,7,2
241,02100100501,2,10,1,5,1,2,7,8,2
242,02100100501,2,10,1,5,1,2,7,9,2
243,02100200904,2,10,2,9,4,2,5,1,1
244,02100200904,2,10,2,9,4,2,5,2,1
245,02100200904,2,10,2,9,4,2,5,3,1
246,02100200904,2,10,2,9,4,2,5,4,1
247,02100200904,2,10,2,9,4,2,5,5,1
248,02100200904,2,10,2,9,4,2,5,6,1
249,02100200904,2,10,2,9,4,2,5,7,1
250,02100200904,2,10,2,9,4,2,5,8,1
251,02100200904,2,10,2,9,4,2,5,9,2
252,03110300605,3,11,3,6,5,2,15,1,2
253,03110300605,3,11,3,6,5,2,15,2,2
254,03110300605,3,11,3,6,5,2,15,3,2
255,03110300605,3,11,3,6,5,2,15,4,2
256,03110300605,3,11,3,6,5,2,15,5,2
257,03110300605,3,11,3,6,5,2,15,6,2
258,03110300605,3,11,3,6,5,2,15,7,2
259,03110300605,3,11,3,6,5,2,15,8,2
260,03110300605,3,11,3,6,5,2,15,9,2
261,03110301501,3,11,3,15,1,2,14,1,2
262,03110301501,3,11,3,15,1,2,14,2,2
263,03110301501,3,11,3,15,1,2,14,3,2
264,03110301501,3,11,3,15,1,2,14,4,2
265,03110301501,3,11,3,15,1,2,14,5,2
266,03110301501,3,11,3,15,1,2,14,6,2
267,03110301501,3,11,3,15,1,2,14,7,1
268,03110301501,3,11,3,15,1,2,14,8,1
269,03110301501,3,11,3,15,1,2,14,9,2
270,03110800110,3,11,8,1,10,1,6,1,2
271,03110800110,3,11,8,1,10,1,6,2,2
272,03110800110,3,11,8,1,10,1,6,3,2
273,03110800110,3,11,8,1,10,1,6,4,2
274,03110800110,3,11,8,1,10,1,6,5,2
275,03110800110,3,11,8,1,10,1,6,6,2
276,03110800110,3,11,8,1,10,1,6,7,2
277,03110800110,3,11,8,1,10,1,6,8,2
278,03110800110,3,11,8,1,10,1,6,9,2
279,03110800701,3,11,8,7,1,2,16,1,2
280,03110800701,3,11,8,7,1,2,16,2,2
281,03110800701,3,11,8,7,1,2,16,3,2
282,03110800701,3,11,8,7,1,2,16,4,2
283,03110800701,3,11,8,7,1,2,16,5,2
284,03110800701,3,11,8,7,1,2,16,6,2
285,03110800701,3,11,8,7,1,2,16,7,2
286,03110800701,3,11,8,7,1,2,16,8,2
287,03110800701,3,11,8,7,1,2,16,9,2
288,03111700101,3,11,17,1,1,1,1,1,1
289,03111700101,3,11,17,1,1,1,1,2,2
290,03111700101,3,11,17,1,1,1,1,3,2
291,03111700101,3,11,17,1,1,1,1,4,1
292,03111700101,3,11,17,1,1,1,1,5,2
293,03111700101,3,11,17,1,1,1,1,6,2
294,03111700101,3,11,17,1,1,1,1,7,2
295,03111700101,3,11,17,1,1,1,1,8,2
296,03111700101,3,11,17,1,1,1,1,9,2
297,03111800604,3,11,18,6,4,1,1,1,2
298,03111800604,3,11,18,6,4,1,1,2,2
299,03111800604,3,11,18,6,4,1,1,3,2
300,03111800604,3,11,18,6,4,1,1,4,2
301,03111800604,3,11,18,6,4,1,1,5,2
302,03111800604,3,11,18,6,4,1,1,6,2
303,03111800604,3,11,18,6,4,1,1,7,2
304,03111800604,3,11,18,6,4,1,1,8,2
305,03111800604,3,11,18,6,4,1,1,9,2
306,03111802013,3,11,18,20,13,1,1,1,2
307,03111802013,3,11,18,20,13,1,1,2,2
308,03111802013,3,11,18,20,13,1,1,3,2
309,03111802013,3,11,18,20,13,1,1,4,2
310,03111802013,3,11,18,20,13,1,1,5,2
311,03111802013,3,11,18,20,13,1,1,6,2
312,03111802013,3,11,18,20,13,1,1,7,2
313,03111802013,3,11,18,20,13,1,1,8,2
314,03111802013,3,11,18,20,13,1,1,9,2
315,03111802013,3,11,18,20,13,1,5,1,2
316,03111802013,3,11,18,20,13,1,5,2,2
317,03111802013,3,11,18,20,13,1,5,3,2
318,03111802013,3,11,18,20,13,1,5,4,2
319,03111802013,3,11,18,20,13,1,5,5,2
320,03111802013,3,11,18,20,13,1,5,6,2
321,03111802013,3,11,18,20,13,1,5,7,2
322,03111802013,3,11,18,20,13,1,5,8,2
