,HHID,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C137_1,C138,C139,C140,C141,C142,C143
1136,04220202602010,,,,,,,,,,,,,,,,,,,,
1137,04220202602011,,,,,,,,,,,,,,,,,,,,
1138,04220202602012,,,,,,,,,,,,,,,,,,,,
1139,04220800303001,,,,,,,,,,,,,,,,,,,,
1140,04220800303002,,,,,,,,,,,,,,,,,,,,
1141,04220800303003,,,,,,,,,,,,,,,,,,,,
1142,04220800303004,,,,,,,,,,,,,,,,,,,,
1143,04220800303005,,,,,,,,,,,,,,,,,,,,
1144,04220800303006,,,,,,,,,,,,,,,,,,,,
1145,04220800303007,1.0,11.0,China,2.0,1.0,888.0,1800.0,2.0,1.0,1.0,1.0,,500.0,1.0,3.0,,2.0,2.0,4.0,3.0
1146,04220800303008,,,,,,,,,,,,,,,,,,,,
1147,04220800303009,,,,,,,,,,,,,,,,,,,,
1148,04220800303010,,,,,,,,,,,,,,,,,,,,
1149,04220800303011,,,,,,,,,,,,,,,,,,,,
1150,04220800303012,,,,,,,,,,,,,,,,,,,,
1151,04221700103001,,,,,,,,,,,,,,,,,,,,
1152,04221700103002,,,,,,,,,,,,,,,,,,,,
1153,04221700103003,,,,,,,,,,,,,,,,,,,,
1154,04221700103004,,,,,,,,,,,,,,,,,,,,
1155,04221700103005,,,,,,,,,,,,,,,,,,,,
1156,04221700103006,,,,,,,,,,,,,,,,,,,,
1157,04221700103007,,,,,,,,,,,,,,,,,,,,
1158,04221700103008,,,,,,,,,,,,,,,,,,,,
1159,04221700103009,,,,,,,,,,,,,,,,,,,,
1160,04221700103010,,,,,,,,,,,,,,,,,,,,
1161,04221700103011,,,,,,,,,,,,,,,,,,,,
1162,04221700103012,,,,,,,,,,,,,,,,,,,,
1163,04230200302001,,,,,,,,,,,,,,,,,,,,
1164,04230200302002,,,,,,,,,,,,,,,,,,,,
1165,04230200302003,2.0,3.0,SK 03,2.0,3.0,4.0,10.0,2.0,1.0,1.0,1.0,,1200.0,1.0,3.0,,2.0,1.0,4.0,3.0
1166,04230200302004,,,,,,,,,,,,,,,,,,,,
1167,04230200302005,,,,,,,,,,,,,,,,,,,,
1168,04230200302006,,,,,,,,,,,,,,,,,,,,
1169,04230200302007,,,,,,,,,,,,,,,,,,,,
1170,04230200302008,,,,,,,,,,,,,,,,,,,,
1171,04230200302009,,,,,,,,,,,,,,,,,,,,
1172,04230200302010,,,,,,,,,,,,,,,,,,,,
1173,04230200302011,,,,,,,,,,,,,,,,,,,,
1174,04230200302012,,,,,,,,,,,,,,,,,,,,
1175,04231300304001,,,,,,,,,,,,,,,,,,,,
1176,04231300304002,,,,,,,,,,,,,,,,,,,,
1177,04231300304003,,,,,,,,,,,,,,,,,,,,
1178,04231300304004,1.0,1.0,dilayti,2.0,1.0,10.0,7.0,2.0,1.0,1.0,1.0,,820.0,1.0,3.0,,2.0,2.0,4.0,1.0
1179,04231300304005,,,,,,,,,,,,,,,,,,,,
1180,04231300304006,,,,,,,,,,,,,,,,,,,,
1181,04231300304007,,,,,,,,,,,,,,,,,,,,
1182,04231300304008,1.0,9.0,00,1.0,,,,,,,,,,,,,,,,
1183,04231300304009,,,,,,,,,,,,,,,,,,,,
1184,04231300304010,,,,,,,,,,,,,,,,,,,,
1185,04231300304011,1.0,3.0,Mb200,2.0,3.0,12.0,12.0,1.0,2.0,1.0,1.0,,1350.0,1.0,3.0,,2.0,1.0,4.0,5.0
1186,04231300304012,1.0,9.0,mb2 200,1.0,,,,,,,,,,,,,,,,
1187,04231301905001,,,,,,,,,,,,,,,,,,,,
1188,04231301905002,,,,,,,,,,,,,,,,,,,,
1189,04231301905003,,,,,,,,,,,,,,,,,,,,
1190,04231301905004,,,,,,,,,,,,,,,,,,,,
1191,04231301905005,,,,,,,,,,,,,,,,,,,,
1192,04231301905006,,,,,,,,,,,,,,,,,,,,
1193,04231301905007,,,,,,,,,,,,,,,,,,,,
1194,04231301905008,,,,,,,,,,,,,,,,,,,,
1195,04231301905009,,,,,,,,,,,,,,,,,,,,
1196,04231301905010,,,,,,,,,,,,,,,,,,,,
1197,04231301905011,,,,,,,,,,,,,,,,,,,,
1198,04231301905012,,,,,,,,,,,,,,,,,,,,
1199,04231700111001,,,,,,,,,,,,,,,,,,,,
1200,04231700111002,,,,,,,,,,,,,,,,,,,,
1201,04231700111003,,,,,,,,,,,,,,,,,,,,
1202,04231700111004,,,,,,,,,,,,,,,,,,,,
1203,04231700111005,,,,,,,,,,,,,,,,,,,,
1204,04231700111006,,,,,,,,,,,,,,,,,,,,
1205,04231700111007,,,,,,,,,,,,,,,,,,,,
1206,04231700111008,,,,,,,,,,,,,,,,,,,,
1207,04231700111009,,,,,,,,,,,,,,,,,,,,
1208,04231700111010,,,,,,,,,,,,,,,,,,,,
1209,04231700111011,,,,,,,,,,,,,,,,,,,,
1210,04231700111012,,,,,,,,,,,,,,,,,,,,
1211,04231700304001,,,,,,,,,,,,,,,,,,,,
1212,04231700304002,,,,,,,,,,,,,,,,,,,,
1213,04231700304003,,,,,,,,,,,,,,,,,,,,
1214,04231700304004,,,,,,,,,,,,,,,,,,,,
1215,04231700304005,,,,,,,,,,,,,,,,,,,,
1216,04231700304006,,,,,,,,,,,,,,,,,,,,
1217,04231700304007,,,,,,,,,,,,,,,,,,,,
1218,04231700304008,,,,,,,,,,,,,,,,,,,,
1219,04231700304009,,,,,,,,,,,,,,,,,,,,
1220,04231700304010,,,,,,,,,,,,,,,,,,,,
1221,04231700304011,,,,,,,,,,,,,,,,,,,,
1222,04231700304012,,,,,,,,,,,,,,,,,,,,
1223,04231700417001,,,,,,,,,,,,,,,,,,,,
1224,04231700417002,,,,,,,,,,,,,,,,,,,,
1225,04231700417003,,,,,,,,,,,,,,,,,,,,
1226,04231700417004,,,,,,,,,,,,,,,,,,,,
1227,04231700417005,,,,,,,,,,,,,,,,,,,,
1228,04231700417006,,,,,,,,,,,,,,,,,,,,
1229,04231700417007,,,,,,,,,,,,,,,,,,,,
1230,04231700417008,,,,,,,,,,,,,,,,,,,,
1231,04231700417009,,,,,,,,,,,,,,,,,,,,
1232,04231700417010,,,,,,,,,,,,,,,,,,,,
1233,04231700417011,,,,,,,,,,,,,,,,,,,,
1234,04231700417012,,,,,,,,,,,,,,,,,,,,
1235,04231700602001,,,,,,,,,,,,,,,,,,,,
1236,04231700602002,,,,,,,,,,,,,,,,,,,,
1237,04231700602004,,,,,,,,,,,,,,,,,,,,
1238,04231700602005,,,,,,,,,,,,,,,,,,,,
1239,04231700602006,,,,,,,,,,,,,,,,,,,,
1240,04231700602007,,,,,,,,,,,,,,,,,,,,
1241,04231700602008,,,,,,,,,,,,,,,,,,,,
1242,04231700602009,,,,,,,,,,,,,,,,,,,,
1243,04231700602010,,,,,,,,,,,,,,,,,,,,
1244,04231700602014,,,,,,,,,,,,,,,,,,,,
1245,04231700602015,,,,,,,,,,,,,,,,,,,,
1246,04231700602016,,,,,,,,,,,,,,,,,,,,
1247,04231700602017,,,,,,,,,,,,,,,,,,,,
1248,04231700602018,,,,,,,,,,,,,,,,,,,,
1249,04240101704001,,,,,,,,,,,,,,,,,,,,
1250,04240101704002,,,,,,,,,,,,,,,,,,,,
1251,04240101704003,1.0,3.0,universal,2.0,2.0,888.0,,2.0,3.0,1.0,1.0,,1200.0,1.0,3.0,,2.0,1.0,3.0,3.0
1252,04240101704004,,,,,,,,,,,,,,,,,,,,
1253,04240101704005,,,,,,,,,,,,,,,,,,,,
1254,04240101704006,,,,,,,,,,,,,,,,,,,,
1255,04240101704007,,,,,,,,,,,,,,,,,,,,
1256,04240101704008,,,,,,,,,,,,,,,,,,,,
1257,04240101704009,,,,,,,,,,,,,,,,,,,,
1258,04240101704010,,,,,,,,,,,,,,,,,,,,
1259,04240101704011,,,,,,,,,,,,,,,,,,,,
1260,04240101704012,,,,,,,,,,,,,,,,,,,,
1261,04240602203001,,,,,,,,,,,,,,,,,,,,
1262,04240602203002,,,,,,,,,,,,,,,,,,,,
1263,04240602203003,,,,,,,,,,,,,,,,,,,,
1264,04240602203004,,,,,,,,,,,,,,,,,,,,
1265,04240602203005,,,,,,,,,,,,,,,,,,,,
1266,04240602203006,,,,,,,,,,,,,,,,,,,,
1267,04240602203007,,,,,,,,,,,,,,,,,,,,
1268,04240602203008,,,,,,,,,,,,,,,,,,,,
1269,04240602203009,,,,,,,,,,,,,,,,,,,,
1270,04240602203010,,,,,,,,,,,,,,,,,,,,
1271,04240602203011,1.0,10.0,4w kit,1.0,,,,,,,,,,,,,,,,
1272,04240602203012,,,,,,,,,,,,,,,,,,,,
1273,04241600101001,,,,,,,,,,,,,,,,,,,,
1274,04241600101002,,,,,,,,,,,,,,,,,,,,
1275,04241600101003,,,,,,,,,,,,,,,,,,,,
1276,04241600101004,,,,,,,,,,,,,,,,,,,,
1277,04241600101005,,,,,,,,,,,,,,,,,,,,
1278,04241600101006,,,,,,,,,,,,,,,,,,,,
1279,04241600101007,,,,,,,,,,,,,,,,,,,,
1280,04241600101008,,,,,,,,,,,,,,,,,,,,
1281,04241600101009,,,,,,,,,,,,,,,,,,,,
1282,04241600101010,,,,,,,,,,,,,,,,,,,,
1283,04241600101011,,,,,,,,,,,,,,,,,,,,
1284,04241600101012,,,,,,,,,,,,,,,,,,,,
1285,04242000217001,,,,,,,,,,,,,,,,,,,,
1286,04242000217002,,,,,,,,,,,,,,,,,,,,
1287,04242000217003,,,,,,,,,,,,,,,,,,,,
1288,04242000217004,,,,,,,,,,,,,,,,,,,,
1289,04242000217005,,,,,,,,,,,,,,,,,,,,
1290,04242000217006,,,,,,,,,,,,,,,,,,,,
1291,04242000217007,,,,,,,,,,,,,,,,,,,,
1292,04242000217008,,,,,,,,,,,,,,,,,,,,
1293,04242000217009,,,,,,,,,,,,,,,,,,,,
1294,04242000217010,,,,,,,,,,,,,,,,,,,,
1295,04242000217011,,,,,,,,,,,,,,,,,,,,
1296,04242000217012,,,,,,,,,,,,,,,,,,,,
1297,04242204001001,1.0,3.0,4w Solar kit,2.0,2.0,4.0,10.0,2.0,1.0,1.0,1.0,,1500.0,1.0,3.0,,2.0,1.0,6.0,5.0
1298,04242204001002,1.0,9.0,Mb2 200,1.0,,,,,,,,,,,,,,,,
1299,04242204001003,1.0,9.0,Mb2 200,1.0,,,,,,,,,,,,,,,,
1300,04242204001004,1.0,3.0,4w solar kit with 3pcs,2.0,3.0,4.0,10.0,2.0,2.0,1.0,1.0,,2000.0,1.0,3.0,,2.0,1.0,4.0,3.0
1301,04242204001005,1.0,9.0,China,3.0,1.0,888.0,,2.0,1.0,1.0,1.0,,250.0,1.0,3.0,,2.0,2.0,4.0,6.0
1302,04242204001006,1.0,11.0,China,3.0,3.0,888.0,888.0,1.0,2.0,1.0,1.0,,1600.0,1.0,3.0,,2.0,2.0,4.0,6.0
1303,04242204001007,1.0,9.0,China,1.0,,,,,,,,,,,,,,,,
1304,04242204001008,1.0,3.0,China,3.0,3.0,888.0,,1.0,3.0,1.0,1.0,,1800.0,1.0,3.0,,2.0,2.0,4.0,6.0
1305,04242204001009,1.0,9.0,0,1.0,,,,,,,,,,,,,,,,
1306,04242204001010,1.0,3.0,pshs 4200,2.0,2.0,12.0,6.0,2.0,4.0,3.0,1.0,,2300.0,1.0,3.0,,2.0,1.0,4.0,6.0
1307,04242204001011,1.0,9.0,universal,1.0,,,,,,,,,,,,,,,,
1308,04242204001012,1.0,3.0,sg1210,2.0,2.0,8.0,5.0,2.0,3.0,1.0,1.0,,1800.0,1.0,3.0,,2.0,1.0,4.0,1.0
1309,04250302905001,,,,,,,,,,,,,,,,,,,,
1310,04250302905002,1.0,3.0,Universal,2.0,3.0,7.0,5200.0,2.0,2.0,1.0,1.0,,1200.0,1.0,3.0,,2.0,2.0,8.0,111.0
1311,04250302905003,1.0,3.0,Super power,2.0,3.0,7.0,5200.0,2.0,2.0,1.0,1.0,,1250.0,1.0,3.0,,2.0,2.0,9.0,111.0
1312,04250302905004,1.0,3.0,Meind,1.0,,,,,,,,,,,,,,,,
1313,04250302905005,1.0,3.0,Universal,1.0,,,,,,,,,,,,,,,,
1314,04250302905006,1.0,3.0,Super power,1.0,,,,,,,,,,,,,,,,
1315,04250302905007,1.0,3.0,Universal,2.0,3.0,7.0,5200.0,2.0,2.0,1.0,1.0,,1200.0,1.0,3.0,,2.0,2.0,8.0,111.0
1316,04250302905008,,,,,,,,,,,,,,,,,,,,
1317,04250302905009,,,,,,,,,,,,,,,,,,,,
1318,04250302905010,1.0,3.0,Uiversal,2.0,1.0,888.0,6.0,2.0,3.0,1.0,1.0,,1000.0,1.0,3.0,,2.0,2.0,7.0,3.0
1319,04250302905011,1.0,3.0,Super power,2.0,1.0,888.0,5.0,2.0,2.0,1.0,1.0,,800.0,1.0,3.0,,2.0,2.0,7.0,3.0
1320,04250302905012,,,,,,,,,,,,,,,,,,,,
1321,04250800404001,1.0,3.0,d.light,1.0,,,,,,,,,,,,,,,,
1322,04250800404002,,,,,,,,,,,,,,,,,,,,
1323,04250800404003,1.0,2.0,sunkina,1.0,,,,,,,,,,,,,,,,
1324,04250800404004,,,,,,,,,,,,,,,,,,,,
1325,04250800404005,1.0,9.0,solar,1.0,,,,,,,,,,,,,,,,
1326,04250800404006,,,,,,,,,,,,,,,,,,,,
1327,04250800404007,1.0,3.0,Dlight,1.0,,,,,,,,,,,,,,,,
1328,04250800404008,,,,,,,,,,,,,,,,,,,,
1329,04250800404009,,,,,,,,,,,,,,,,,,,,
1330,04250800404010,,,,,,,,,,,,,,,,,,,,
1331,04250800404011,,,,,,,,,,,,,,,,,,,,
1332,04250800404012,1.0,9.0,dlight,1.0,,,,,,,,,,,,,,,,
1333,04251103105001,1.0,3.0,al huseini,2.0,1.0,250.0,7.0,2.0,1.0,1.0,1.0,,800.0,1.0,3.0,,2.0,2.0,7.0,3.0
1334,04251103105002,,,,,,,,,,,,,,,,,,,,
1335,04251103105003,,,,,,,,,,,,,,,,,,,,
1336,04251103105004,1.0,3.0,solar,1.0,,,,,,,,,,,,,,,,
1337,04251103105005,1.0,3.0,universal,2.0,2.0,240.0,8.0,1.0,1.0,1.0,1.0,,1250.0,1.0,3.0,,2.0,2.0,8.0,3.0
1338,04251103105006,1.0,3.0,alawakil,1.0,,,,,,,,,,,,,,,,
1339,04251103105007,1.0,3.0,universal,1.0,,,,,,,,,,,,,,,,
1340,04251103105008,1.0,3.0,universal,1.0,,,,,,,,,,,,,,,,
1341,04251103105009,1.0,3.0,universal,1.0,,,,,,,,,,,,,,,,
1342,04251103105010,1.0,3.0,universal,1.0,,,,,,,,,,,,,,,,
1343,04251103105011,1.0,3.0,universal,1.0,,,,,,,,,,,,,,,,
1344,04251103105012,1.0,3.0,univetsal,1.0,,,,,,,,,,,,,,,,
1345,04251103502001,,,,,,,,,,,,,,,,,,,,
1346,04251103502002,1.0,3.0,Compex,1.0,,,,,,,,,,,,,,,,
1347,04251103502003,1.0,3.0,Universal,2.0,3.0,7.0,5200.0,2.0,4.0,1.0,1.0,,1650.0,1.0,3.0,,2.0,2.0,6.0,7.0
1348,04251103502004,1.0,3.0,Master power,1.0,,,,,,,,,,,,,,,,
1349,04251103502005,1.0,3.0,0,2.0,3.0,6.0,5200.0,2.0,2.0,1.0,1.0,,1500.0,1.0,3.0,,2.0,2.0,6.0,3.0
1350,04251103502006,,,,,,,,,,,,,,,,,,,,
1351,04251103502007,1.0,3.0,compex,1.0,,,,,,,,,,,,,,,,
1352,04251103502008,1.0,3.0,Universal,1.0,,,,,,,,,,,,,,,,
1353,04251103502009,1.0,3.0,compex,1.0,,,,,,,,,,,,,,,,
1354,04251103502010,1.0,3.0,Compex,1.0,,,,,,,,,,,,,,,,
1355,04251103502011,1.0,3.0,Universal,1.0,,,,,,,,,,,,,,,,
1356,04251103502012,,,,,,,,,,,,,,,,,,,,
1357,04260500101001,,,,,,,,,,,,,,,,,,,,
1358,04260500101002,,,,,,,,,,,,,,,,,,,,
1359,04260500101003,,,,,,,,,,,,,,,,,,,,
1360,04260500101004,,,,,,,,,,,,,,,,,,,,
1361,04260500101005,,,,,,,,,,,,,,,,,,,,
1362,04260500101006,,,,,,,,,,,,,,,,,,,,
1363,04260500101007,,,,,,,,,,,,,,,,,,,,
1364,04260500101008,,,,,,,,,,,,,,,,,,,,
1365,04260500101009,,,,,,,,,,,,,,,,,,,,
1366,04260500101010,,,,,,,,,,,,,,,,,,,,
1367,04260500101011,,,,,,,,,,,,,,,,,,,,
1368,04260500101012,,,,,,,,,,,,,,,,,,,,
1369,04260801102001,,,,,,,,,,,,,,,,,,,,
1370,04260801102002,1.0,4.0,China,2.0,2.0,7.0,250.0,1.0,2.0,1.0,1.0,,1400.0,1.0,3.0,,2.0,2.0,2.0,111.0
1371,04260801102003,,,,,,,,,,,,,,,,,,,,
1372,04260801102004,1.0,3.0,mb-0023,2.0,2.0,10.0,3000.0,1.0,1.0,1.0,1.0,,1800.0,1.0,3.0,,2.0,1.0,5.0,111.0
1373,04260801102005,,,,,,,,,,,,,,,,,,,,
1374,04260801102006,,,,,,,,,,,,,,,,,,,,
1375,04260801102007,,,,,,,,,,,,,,,,,,,,
1376,04260801102008,,,,,,,,,,,,,,,,,,,,
1377,04260801102009,,,,,,,,,,,,,,,,,,,,
1378,04260801102010,,,,,,,,,,,,,,,,,,,,
1379,04260801102011,1.0,3.0,mb2 200,2.0,1.0,10.0,7.0,2.0,1.0,2.0,1.0,,1200.0,1.0,3.0,,2.0,2.0,3.0,6.0
1380,04260801102012,,,,,,,,,,,,,,,,,,,,
1381,04260803103001,1.0,1.0,5k-303,2.0,3.0,4.0,8.0,1.0,1.0,1.0,1.0,,1500.0,1.0,3.0,,2.0,1.0,6.0,3.0
1382,04260803103002,1.0,1.0,1,2.0,1.0,10.0,7.0,1.0,2.0,1.0,1.0,,1200.0,1.0,3.0,,2.0,2.0,3.0,4.0
1383,04260803103003,1.0,3.0,MB2 200,2.0,2.0,10.0,7.0,2.0,4.0,1.0,1.0,,1500.0,1.0,3.0,,2.0,1.0,5.0,3.0
1384,04260803103004,1.0,1.0,ON S 1000P,3.0,9.0,222.0,12.0,1.0,1.0,1.0,1.0,,2200.0,1.0,3.0,,2.0,2.0,6.0,6.0
1385,04260803103005,,,,,,,,,,,,,,,,,,,,
1386,04260803103006,1.0,3.0,MB2 200,2.0,2.0,10.0,7.0,2.0,4.0,1.0,1.0,,1500.0,1.0,3.0,,2.0,1.0,6.0,3.0
1387,04260803103007,1.0,2.0,FS 20,2.0,1.0,33.0,10.0,1.0,4.0,1.0,1.0,,1400.0,1.0,3.0,,2.0,2.0,10.0,1.0
1388,04260803103008,1.0,11.0,MB 2-200,1.0,,,,,,,,,,,,,,,,
1389,04260803103008,2.0,11.0,China MB 2-200,1.0,,,,,,,,,,,,,,,,
1390,04260803103009,,,,,,,,,,,,,,,,,,,,
1391,04260803103010,1.0,11.0,MB2 200,1.0,,,,,,,,,,,,,,,,
1392,04260803103011,1.0,1.0,MB2 200,2.0,2.0,10.0,7.0,2.0,5.0,1.0,1.0,,1500.0,1.0,3.0,,2.0,1.0,5.0,3.0
1393,04260803103012,,,,,,,,,,,,,,,,,,,,
1394,04261400105001,,,,,,,,,,,,,,,,,,,,
1395,04261400105002,,,,,,,,,,,,,,,,,,,,
1396,04261400105003,,,,,,,,,,,,,,,,,,,,
1397,04261400105004,,,,,,,,,,,,,,,,,,,,
1398,04261400105005,,,,,,,,,,,,,,,,,,,,
1399,04261400105006,,,,,,,,,,,,,,,,,,,,
1400,04261400105007,,,,,,,,,,,,,,,,,,,,
1401,04261400105008,,,,,,,,,,,,,,,,,,,,
1402,04261400105009,,,,,,,,,,,,,,,,,,,,
1403,04261400105010,,,,,,,,,,,,,,,,,,,,
1404,04261400105011,,,,,,,,,,,,,,,,,,,,
1405,04261400105012,,,,,,,,,,,,,,,,,,,,
1406,04261500308001,,,,,,,,,,,,,,,,,,,,
1407,04261500308002,,,,,,,,,,,,,,,,,,,,
1408,04261500308003,,,,,,,,,,,,,,,,,,,,
1409,04261500308004,,,,,,,,,,,,,,,,,,,,
1410,04261500308005,,,,,,,,,,,,,,,,,,,,
1411,04261500308006,,,,,,,,,,,,,,,,,,,,
1412,04261500308007,,,,,,,,,,,,,,,,,,,,
1413,04261500308008,,,,,,,,,,,,,,,,,,,,
1414,04261500308009,,,,,,,,,,,,,,,,,,,,
1415,04261500308010,,,,,,,,,,,,,,,,,,,,
1416,04261500308011,,,,,,,,,,,,,,,,,,,,
1417,04261500308012,,,,,,,,,,,,,,,,,,,,
1418,04261701902001,,,,,,,,,,,,,,,,,,,,
1419,04261701902002,,,,,,,,,,,,,,,,,,,,
1420,04261701902003,,,,,,,,,,,,,,,,,,,,
1421,04261701902004,,,,,,,,,,,,,,,,,,,,
1422,04261701902005,,,,,,,,,,,,,,,,,,,,
1423,04261701902006,,,,,,,,,,,,,,,,,,,,
1424,04261701902007,,,,,,,,,,,,,,,,,,,,
1425,04261701902008,,,,,,,,,,,,,,,,,,,,
1426,04261701902009,,,,,,,,,,,,,,,,,,,,
1427,04261701902010,,,,,,,,,,,,,,,,,,,,
1428,04261701902011,,,,,,,,,,,,,,,,,,,,
1429,04261701902012,,,,,,,,,,,,,,,,,,,,
1430,04270101002001,1.0,3.0,compex,1.0,,,,,,,,,,,,,,,,
1431,04270101002002,1.0,3.0,Universal,1.0,,,,,,,,,,,,,,,,
1432,04270101002003,1.0,9.0,0,1.0,,,,,,,,,,,,,,,,
1433,04270101002004,1.0,9.0,o,1.0,,,,,,,,,,,,,,,,
1434,04270101002005,1.0,9.0,o,1.0,,,,,,,,,,,,,,,,
1435,04270101002006,,,,,,,,,,,,,,,,,,,,
1436,04270101002007,1.0,3.0,Universal,1.0,,,,,,,,,,,,,,,,
1437,04270101002008,,,,,,,,,,,,,,,,,,,,
1438,04270101002009,1.0,3.0,Power,1.0,,,,,,,,,,,,,,,,
1439,04270101002010,1.0,3.0,universal,1.0,,,,,,,,,,,,,,,,
1440,04270101002011,1.0,3.0,Super power,1.0,,,,,,,,,,,,,,,,
1441,04270101002012,1.0,3.0,Universal,1.0,,,,,,,,,,,,,,,,
1442,04271202206001,,,,,,,,,,,,,,,,,,,,
1443,04271202206002,,,,,,,,,,,,,,,,,,,,
1444,04271202206003,,,,,,,,,,,,,,,,,,,,
1445,04271202206004,,,,,,,,,,,,,,,,,,,,
1446,04271202206005,,,,,,,,,,,,,,,,,,,,
1447,04271202206006,,,,,,,,,,,,,,,,,,,,
1448,04271202206007,,,,,,,,,,,,,,,,,,,,
1449,04271202206008,,,,,,,,,,,,,,,,,,,,
1450,04271202206009,,,,,,,,,,,,,,,,,,,,
1451,04271202206010,,,,,,,,,,,,,,,,,,,,
1452,04271202206011,,,,,,,,,,,,,,,,,,,,
1453,04271202206012,,,,,,,,,,,,,,,,,,,,
1454,04271800107001,,,,,,,,,,,,,,,,,,,,
1455,04271800107003,,,,,,,,,,,,,,,,,,,,
1456,04271800107004,,,,,,,,,,,,,,,,,,,,
1457,04271800107005,,,,,,,,,,,,,,,,,,,,
1458,04271800107024,,,,,,,,,,,,,,,,,,,,
1459,04271800107044,,,,,,,,,,,,,,,,,,,,
1460,04271800107064,,,,,,,,,,,,,,,,,,,,
1461,04271800107084,,,,,,,,,,,,,,,,,,,,
1462,04271800107104,,,,,,,,,,,,,,,,,,,,
1463,04271800107124,,,,,,,,,,,,,,,,,,,,
1464,04271800107144,,,,,,,,,,,,,,,,,,,,
1465,04271800107164,,,,,,,,,,,,,,,,,,,,
1466,04280201505001,1.0,99.0,GEL -40B,3.0,3.0,250.0,8.0,1.0,3.0,1.0,1.0,,1500.0,2.0,3.0,25.0,2.0,2.0,8.0,4.0
1467,04280201505002,,,,,,,,,,,,,,,,,,,,
1468,04280201505003,,,,,,,,,,,,,,,,,,,,
1469,04280201505004,,,,,,,,,,,,,,,,,,,,
1470,04280201505005,1.0,2.0,0,1.0,,,,,,,,,,,,,,,,
1471,04280201505006,1.0,3.0,0,3.0,3.0,888.0,,2.0,2.0,1.0,1.0,,1600.0,1.0,3.0,,2.0,2.0,4.0,6.0
1472,04280201505007,1.0,3.0,0,2.0,1.0,888.0,,2.0,3.0,1.0,1.0,,2000.0,1.0,3.0,,2.0,2.0,6.0,1.0
1473,04280201505008,1.0,3.0,0,3.0,1.0,1.0,,2.0,2.0,1.0,1.0,,1600.0,1.0,3.0,,2.0,2.0,6.0,3.0
1474,04280201505009,1.0,99.0,,1.0,,,,,,,,,,,,,,,,
1475,04280201505010,1.0,99.0,,1.0,,,,,,,,,,,,,,,,
1476,04280201505011,,,,,,,,,,,,,,,,,,,,
1477,04280201505012,1.0,99.0,,1.0,,,,,,,,,,,,,,,,
1478,04280203203001,,,,,,,,,,,,,,,,,,,,
1479,04280203203002,,,,,,,,,,,,,,,,,,,,
1480,04280203203003,,,,,,,,,,,,,,,,,,,,
1481,04280203203004,,,,,,,,,,,,,,,,,,,,
1482,04280203203005,1.0,9.0,0,1.0,,,,,,,,,,,,,,,,
1483,04280203203006,,,,,,,,,,,,,,,,,,,,
1484,04280203203007,,,,,,,,,,,,,,,,,,,,
1485,04280203203008,,,,,,,,,,,,,,,,,,,,
1486,04280203203009,1.0,99.0,,1.0,,,,,,,,,,,,,,,,
1487,04280203203010,,,,,,,,,,,,,,,,,,,,
1488,04280203203011,,,,,,,,,,,,,,,,,,,,
1489,04280203203012,1.0,99.0,,1.0,,,,,,,,,,,,,,,,
1490,04280300107008,,,,,,,,,,,,,,,,,,,,
1491,04280300107021,,,,,,,,,,,,,,,,,,,,
1492,04280300107034,,,,,,,,,,,,,,,,,,,,
1493,04280300107047,,,,,,,,,,,,,,,,,,,,
1494,04280300107060,,,,,,,,,,,,,,,,,,,,
1495,04280300107073,,,,,,,,,,,,,,,,,,,,
1496,04280300107086,,,,,,,,,,,,,,,,,,,,
1497,04280300107099,,,,,,,,,,,,,,,,,,,,
1498,04280300107112,,,,,,,,,,,,,,,,,,,,
1499,04280300107125,,,,,,,,,,,,,,,,,,,,
1500,04280300107138,,,,,,,,,,,,,,,,,,,,
1501,04280300107151,,,,,,,,,,,,,,,,,,,,
1502,04280900511014,,,,,,,,,,,,,,,,,,,,
1503,04280900511029,,,,,,,,,,,,,,,,,,,,
1504,04280900511044,,,,,,,,,,,,,,,,,,,,
1505,04280900511059,,,,,,,,,,,,,,,,,,,,
1506,04280900511074,,,,,,,,,,,,,,,,,,,,
1507,04280900511089,,,,,,,,,,,,,,,,,,,,
1508,04280900511104,,,,,,,,,,,,,,,,,,,,
1509,04280900511119,,,,,,,,,,,,,,,,,,,,
1510,04280900511134,,,,,,,,,,,,,,,,,,,,
1511,04280900511149,,,,,,,,,,,,,,,,,,,,
1512,04280900511164,,,,,,,,,,,,,,,,,,,,
1513,04280900511179,,,,,,,,,,,,,,,,,,,,
1514,04280900803005,,,,,,,,,,,,,,,,,,,,
1515,04280900803018,,,,,,,,,,,,,,,,,,,,
1516,04280900803031,,,,,,,,,,,,,,,,,,,,
1517,04280900803044,,,,,,,,,,,,,,,,,,,,
1518,04280900803057,,,,,,,,,,,,,,,,,,,,
1519,04280900803070,,,,,,,,,,,,,,,,,,,,
1520,04280900803083,,,,,,,,,,,,,,,,,,,,
1521,04280900803096,,,,,,,,,,,,,,,,,,,,
1522,04280900803109,,,,,,,,,,,,,,,,,,,,
1523,04280900803122,,,,,,,,,,,,,,,,,,,,
1524,04280900803135,,,,,,,,,,,,,,,,,,,,
1525,04280900803148,,,,,,,,,,,,,,,,,,,,
1526,04290100110001,,,,,,,,,,,,,,,,,,,,
1527,04290100110002,,,,,,,,,,,,,,,,,,,,
1528,04290100110003,,,,,,,,,,,,,,,,,,,,
