,HHID,F2,F3,F4,F5,F6,F7,F8,F9,F10,F13
300,01020801604004,1,2.0,,,,,,,,
301,01020801604004,2,2.0,,,,,,,,
302,01020801604004,3,2.0,,,,,,,,
303,01020801604004,4,2.0,,,,,,,,
304,01020801604004,5,2.0,,,,,,,,
305,01020801604014,1,2.0,,,,,,,,
306,01020801604014,2,2.0,,,,,,,,
307,01020801604014,3,2.0,,,,,,,,
308,01020801604014,4,2.0,,,,,,,,
309,01020801604014,5,2.0,,,,,,,,
310,01020801604024,1,2.0,,,,,,,,
311,01020801604024,2,2.0,,,,,,,,
312,01020801604024,3,2.0,,,,,,,,
313,01020801604024,4,2.0,,,,,,,,
314,01020801604024,5,2.0,,,,,,,,
315,01020801604034,1,2.0,,,,,,,,
316,01020801604034,2,2.0,,,,,,,,
317,01020801604034,3,2.0,,,,,,,,
318,01020801604034,4,2.0,,,,,,,,
319,01020801604034,5,2.0,,,,,,,,
320,01020801604044,1,2.0,,,,,,,,
321,01020801604044,2,2.0,,,,,,,,
322,01020801604044,3,2.0,,,,,,,,
323,01020801604044,4,2.0,,,,,,,,
324,01020801604044,5,2.0,,,,,,,,
325,01020801604054,1,2.0,,,,,,,,
326,01020801604054,2,2.0,,,,,,,,
327,01020801604054,3,2.0,,,,,,,,
328,01020801604054,4,2.0,,,,,,,,
329,01020801604054,5,2.0,,,,,,,,
330,01020801604064,1,2.0,,,,,,,,
331,01020801604064,2,1.0,1.0,1.0,0.0,2.0,3.0,,,9.0
332,01020801604064,3,2.0,,,,,,,,
333,01020801604064,4,2.0,,,,,,,,
334,01020801604064,5,2.0,,,,,,,,
335,01020801604074,1,1.0,,,,3.0,2.0,1.0,4.0,2.0
336,01020801604074,2,2.0,,,,,,,,
337,01020801604074,3,2.0,,,,,,,,
338,01020801604074,4,2.0,,,,,,,,
339,01020801604074,5,2.0,,,,,,,,
340,01020801604084,1,1.0,,,,2.0,4.0,1.0,4.0,2.0
341,01020801604084,2,2.0,,,,,,,,
342,01020801604084,3,2.0,,,,,,,,
343,01020801604084,4,2.0,,,,,,,,
344,01020801604084,5,2.0,,,,,,,,
345,01020801604100,1,2.0,,,,,,,,
