,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,A8,Item,KW_a,KW_b,KW_73,KW_74,KW_75
165,02070101901,2,7,1,19,1,2,2,6,2,,1.0,1.0,
166,02070101901,2,7,1,19,1,2,2,7,2,,1.0,1.0,
167,02070101901,2,7,1,19,1,2,2,8,2,,1.0,1.0,
168,02070101901,2,7,1,19,1,2,2,9,2,,1.0,1.0,
169,02070101901,2,7,1,19,1,2,2,10,2,,1.0,1.0,
170,02070200101,2,7,2,1,1,1,1,1,1,5.0,,,1.0
171,02070200101,2,7,2,1,1,1,1,2,2,,1.0,2.0,
172,02070200101,2,7,2,1,1,1,1,3,2,,2.0,2.0,
173,02070200101,2,7,2,1,1,1,1,4,2,,2.0,2.0,
174,02070200101,2,7,2,1,1,1,1,5,1,3.0,,,1.0
175,02070200101,2,7,2,1,1,1,1,6,1,1.0,,,1.0
176,02070200101,2,7,2,1,1,1,1,7,2,,2.0,2.0,
177,02070200101,2,7,2,1,1,1,1,8,2,,2.0,2.0,
178,02070200101,2,7,2,1,1,1,1,9,2,,2.0,2.0,
179,02070200101,2,7,2,1,1,1,1,10,2,,2.0,2.0,
180,02070300104,2,7,3,1,4,1,1,1,1,5.0,,,1.0
181,02070300104,2,7,3,1,4,1,1,2,2,,1.0,2.0,
182,02070300104,2,7,3,1,4,1,1,3,2,,2.0,2.0,
183,02070300104,2,7,3,1,4,1,1,4,2,,2.0,2.0,
184,02070300104,2,7,3,1,4,1,1,5,1,2.0,,,1.0
185,02070300104,2,7,3,1,4,1,1,6,2,,1.0,2.0,
186,02070300104,2,7,3,1,4,1,1,7,2,,1.0,2.0,
187,02070300104,2,7,3,1,4,1,1,8,2,,2.0,2.0,
188,02070300104,2,7,3,1,4,1,1,9,2,,2.0,2.0,
189,02070300104,2,7,3,1,4,1,1,10,2,,1.0,2.0,
190,02070501103,2,7,5,11,3,2,3,1,1,1.0,,,1.0
191,02070501103,2,7,5,11,3,2,3,2,2,,1.0,1.0,
192,02070501103,2,7,5,11,3,2,3,3,2,,1.0,1.0,
193,02070501103,2,7,5,11,3,2,3,4,2,,1.0,1.0,
194,02070501103,2,7,5,11,3,2,3,5,2,,1.0,1.0,
195,02070501103,2,7,5,11,3,2,3,6,1,1.0,,,2.0
196,02070501103,2,7,5,11,3,2,3,7,2,,1.0,1.0,
197,02070501103,2,7,5,11,3,2,3,8,2,,1.0,1.0,
198,02070501103,2,7,5,11,3,2,3,9,1,2.0,,,1.0
199,02070501103,2,7,5,11,3,2,3,10,2,,1.0,1.0,
200,02070501302,2,7,5,13,2,2,4,1,2,,1.0,1.0,
201,02070501302,2,7,5,13,2,2,4,2,2,,1.0,1.0,
202,02070501302,2,7,5,13,2,2,4,3,2,,1.0,1.0,
203,02070501302,2,7,5,13,2,2,4,4,2,,1.0,1.0,
204,02070501302,2,7,5,13,2,2,4,5,2,,1.0,1.0,
205,02070501302,2,7,5,13,2,2,4,6,2,,1.0,1.0,
206,02070501302,2,7,5,13,2,2,4,7,2,,1.0,1.0,
207,02070501302,2,7,5,13,2,2,4,8,2,,1.0,1.0,
208,02070501302,2,7,5,13,2,2,4,9,2,,1.0,1.0,
209,02070501302,2,7,5,13,2,2,4,10,2,,1.0,1.0,
210,02080300102,2,8,3,1,2,2,9,1,2,,1.0,1.0,
211,02080300102,2,8,3,1,2,2,9,2,2,,1.0,1.0,
212,02080300102,2,8,3,1,2,2,9,3,2,,1.0,1.0,
213,02080300102,2,8,3,1,2,2,9,4,2,,1.0,1.0,
214,02080300102,2,8,3,1,2,2,9,5,2,,1.0,1.0,
215,02080300102,2,8,3,1,2,2,9,6,2,,1.0,1.0,
216,02080300102,2,8,3,1,2,2,9,7,2,,1.0,1.0,
217,02080300102,2,8,3,1,2,2,9,8,2,,1.0,1.0,
218,02080300102,2,8,3,1,2,2,9,9,2,,1.0,1.0,
219,02080300102,2,8,3,1,2,2,9,10,2,,1.0,1.0,
220,02080300404,2,8,3,4,4,2,8,1,1,3.0,,,1.0
221,02080300404,2,8,3,4,4,2,8,2,2,,1.0,1.0,
222,02080300404,2,8,3,4,4,2,8,3,2,,1.0,1.0,
223,02080300404,2,8,3,4,4,2,8,4,2,,1.0,1.0,
224,02080300404,2,8,3,4,4,2,8,5,2,,1.0,1.0,
225,02080300404,2,8,3,4,4,2,8,6,1,2.0,,,1.0
226,02080300404,2,8,3,4,4,2,8,7,2,,1.0,1.0,
227,02080300404,2,8,3,4,4,2,8,8,2,,1.0,1.0,
228,02080300404,2,8,3,4,4,2,8,9,1,3.0,,,1.0
229,02080300404,2,8,3,4,4,2,8,10,1,1.0,,,1.0
230,02090100104,2,9,1,1,4,1,1,1,1,2.0,,,1.0
231,02090100104,2,9,1,1,4,1,1,2,2,,1.0,3.0,
232,02090100104,2,9,1,1,4,1,1,3,2,,1.0,2.0,
233,02090100104,2,9,1,1,4,1,1,4,2,,2.0,2.0,
234,02090100104,2,9,1,1,4,1,1,5,1,2.0,,,1.0
235,02090100104,2,9,1,1,4,1,1,6,2,,1.0,2.0,
236,02090100104,2,9,1,1,4,1,1,7,2,,1.0,2.0,
