,HHID,IndividualID,quest_id,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,HI_7,A1,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,EAID
60,01010301101020,0101030110102002,18,1,1,3,11,1,2,20,2,2,2,30,1,2.0,,,1.0,1.0,1.0,1.0,15.0,,,,,,,1010388801101.0
61,01010301101020,0101030110102003,18,1,1,3,11,1,2,20,3,2,3,15,1,1.0,1.0,8.0,1.0,5.0,1.0,1.0,10.0,,,,,,,1010388801101.0
62,01010301101020,0101030110102004,18,1,1,3,11,1,2,20,4,1,3,14,1,1.0,1.0,7.0,1.0,5.0,6.0,2.0,,,,,,,,1010388801101.0
63,01010301101020,0101030110102005,18,1,1,3,11,1,2,20,5,1,3,12,1,1.0,1.0,4.0,1.0,5.0,6.0,2.0,,,,,,,,1010388801101.0
64,01010301101020,0101030110102006,18,1,1,3,11,1,2,20,6,1,3,11,1,1.0,1.0,3.0,2.0,,,,,,,,,,,1010388801101.0
65,01010301101020,0101030110102007,18,1,1,3,11,1,2,20,7,2,3,9,1,1.0,1.0,3.0,2.0,,,,,,,,,,,1010388801101.0
66,01010301101020,0101030110102008,18,1,1,3,11,1,2,20,8,1,3,6,1,2.0,,,2.0,,,,,,,,,,,1010388801101.0
67,01010301101020,0101030110102009,18,1,1,3,11,1,2,20,9,1,3,3,2,,,,,,,,,,,,,,,1010388801101.0
68,01010301101020,0101030110102010,18,1,1,3,11,1,2,20,10,2,3,4,2,,,,,,,,,,,,,,,1010388801101.0
69,01010301101022,0101030110102201,19,1,1,3,11,1,2,22,1,2,1,40,1,2.0,,,1.0,6.0,1.0,1.0,15.0,,,,,,,1010388801101.0
70,01010301101022,0101030110102202,19,1,1,3,11,1,2,22,2,1,3,24,1,1.0,1.0,10.0,1.0,5.0,6.0,1.0,3.0,1.0,7.0,18.0,933.0,2.0,,1010388801101.0
71,01010301101022,0101030110102203,19,1,1,3,11,1,2,22,3,2,3,18,1,2.0,,,1.0,6.0,1.0,1.0,15.0,,,,,,,1010388801101.0
72,01010301101022,0101030110102204,19,1,1,3,11,1,2,22,4,1,3,11,1,1.0,1.0,2.0,2.0,,,,,,,,,,,1010388801101.0
73,01010301101022,0101030110102205,19,1,1,3,11,1,2,22,5,2,3,9,1,1.0,1.0,0.0,2.0,,,,,,,,,,,1010388801101.0
74,01010301101028,0101030110102801,20,1,1,3,11,1,2,28,1,2,1,45,1,2.0,,,1.0,6.0,1.0,1.0,3.0,1.0,7.0,18.0,233.0,1.0,0.0,1010388801101.0
75,01010301101028,0101030110102802,20,1,1,3,11,1,2,28,2,2,3,19,1,1.0,2.0,14.0,1.0,6.0,1.0,1.0,14.0,,,,,,,1010388801101.0
76,01010301101034,0101030110103401,21,1,1,3,11,1,2,34,1,1,1,37,1,1.0,2.0,9.0,1.0,1.0,6.0,1.0,14.0,,,,,,,1010388801101.0
77,01010301101034,0101030110103402,21,1,1,3,11,1,2,34,2,1,3,5,1,2.0,,,2.0,,,,,,,,,,,1010388801101.0
78,01010301101034,0101030110103403,21,1,1,3,11,1,2,34,3,2,2,28,1,1.0,2.0,10.0,1.0,1.0,1.0,1.0,3.0,1.0,7.0,18.0,933.0,2.0,,1010388801101.0
79,01010301101040,0101030110104001,22,1,1,3,11,1,2,40,1,1,1,35,1,1.0,2.0,2.0,1.0,1.0,6.0,1.0,3.0,1.0,7.0,18.0,533.0,2.0,,1010388801101.0
80,01010301101040,0101030110104002,22,1,1,3,11,1,2,40,2,1,3,6,1,2.0,,,2.0,,,,,,,,,,,1010388801101.0
81,01010301101040,0101030110104003,22,1,1,3,11,1,2,40,3,2,3,2,2,,,,,,,,,,,,,,,1010388801101.0
