,HHID,IndividualID,quest_id,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,HI_7,A1,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,EAID
3733,03170601005100,0317060100510002,933,3,17,6,10,5,2,100,2,2,2,21,1,1.0,2.0,3.0,1.0,1.0,1.0,1.0,15.0,,,,,,,3070688801005.0
3734,03170601005100,0317060100510003,933,3,17,6,10,5,2,100,3,2,3,3,2,,,,,,,,,,,,,,,3070688801005.0
3735,03170601005112,0317060100511201,934,3,17,6,10,5,2,112,1,1,1,35,1,1.0,2.0,4.0,1.0,1.0,6.0,1.0,5.0,1.0,12.0,22.0,500.0,2.0,,3070688801005.0
3736,03170601005112,0317060100511202,934,3,17,6,10,5,2,112,2,1,3,8,1,1.0,1.0,1.0,2.0,,,,,,,,,,,3070688801005.0
3737,03170601005112,0317060100511203,934,3,17,6,10,5,2,112,3,2,2,27,1,2.0,,,1.0,1.0,1.0,1.0,15.0,,,,,,,3070688801005.0
3738,03170601005124,0317060100512401,935,3,17,6,10,5,2,124,1,1,1,40,1,2.0,,,1.0,1.0,6.0,1.0,5.0,1.0,12.0,25.0,1000.0,2.0,,3070688801005.0
3739,03170601005124,0317060100512402,935,3,17,6,10,5,2,124,2,2,2,36,1,2.0,,,1.0,1.0,1.0,1.0,15.0,,,,,,,3070688801005.0
3740,03170601005124,0317060100512403,935,3,17,6,10,5,2,124,3,1,3,18,1,1.0,1.0,5.0,1.0,5.0,6.0,1.0,10.0,,,,,,,3070688801005.0
3741,03170601005124,0317060100512404,935,3,17,6,10,5,2,124,4,2,3,13,1,1.0,1.0,6.0,1.0,5.0,2.0,2.0,,,,,,,,3070688801005.0
3742,03170601005124,0317060100512405,935,3,17,6,10,5,2,124,5,2,3,10,1,1.0,1.0,4.0,2.0,,,,,,,,,,,3070688801005.0
3743,03170601005124,0317060100512406,935,3,17,6,10,5,2,124,6,2,3,8,1,1.0,1.0,2.0,2.0,,,,,,,,,,,3070688801005.0
3744,03170601005124,0317060100512407,935,3,17,6,10,5,2,124,7,1,3,6,1,2.0,,,2.0,,,,,,,,,,,3070688801005.0
3745,03170601005124,0317060100512408,935,3,17,6,10,5,2,124,8,1,3,3,2,,,,,,,,,,,,,,,3070688801005.0
3746,03170601005124,0317060100512409,935,3,17,6,10,5,2,124,9,2,3,0,2,,,,,,,,,,,,,,,3070688801005.0
3747,03170601005136,0317060100513601,936,3,17,6,10,5,2,136,1,1,1,42,1,2.0,,,1.0,1.0,6.0,1.0,5.0,1.0,12.0,20.0,600.0,2.0,,3070688801005.0
3748,03170601005136,0317060100513602,936,3,17,6,10,5,2,136,2,2,2,38,1,2.0,,,1.0,1.0,1.0,1.0,15.0,,,,,,,3070688801005.0
3749,03170601005136,0317060100513603,936,3,17,6,10,5,2,136,3,1,3,12,1,1.0,1.0,6.0,1.0,5.0,6.0,2.0,,,,,,,,3070688801005.0
3750,03170601005136,0317060100513604,936,3,17,6,10,5,2,136,4,2,3,7,1,1.0,1.0,0.0,2.0,,,,,,,,,,,3070688801005.0
3751,03180100102002,0318010010200201,937,3,18,1,1,2,1,2,1,2,1,35,1,2.0,,,1.0,6.0,1.0,1.0,3.0,19.0,12.0,26.0,120.0,2.0,,3080110100102.0
3752,03180100102002,0318010010200202,937,3,18,1,1,2,1,2,2,2,3,18,1,2.0,,,1.0,5.0,1.0,1.0,14.0,,,,,,,3080110100102.0
3753,03180100102002,0318010010200203,937,3,18,1,1,2,1,2,3,2,3,15,1,1.0,1.0,3.0,1.0,5.0,1.0,1.0,10.0,,,,,,,3080110100102.0
3754,03180100102002,0318010010200204,937,3,18,1,1,2,1,2,4,2,3,7,1,2.0,,,2.0,,,,,,,,,,,3080110100102.0
3755,03180100102002,0318010010200205,937,3,18,1,1,2,1,2,5,2,3,2,2,,,,,,,,,,,,,,,3080110100102.0
3756,03180100102005,0318010010200501,938,3,18,1,1,2,1,5,1,1,1,37,1,2.0,,,1.0,5.0,1.0,1.0,8.0,,12.0,16.0,1280.0,2.0,,3080110100102.0
3757,03180100102005,0318010010200502,938,3,18,1,1,2,1,5,2,2,6,67,1,2.0,,,1.0,8.0,6.0,1.0,13.0,,,,,,,3080110100102.0
3758,03180100102008,0318010010200801,939,3,18,1,1,2,1,8,1,2,1,40,1,2.0,,,1.0,1.0,1.0,1.0,2.0,1.0,3.0,24.0,1500.0,2.0,,3080110100102.0
3759,03180100102008,0318010010200802,939,3,18,1,1,2,1,8,2,1,2,65,1,2.0,,,1.0,1.0,6.0,1.0,2.0,1.0,3.0,24.0,1500.0,2.0,,3080110100102.0
3760,03180100102008,0318010010200803,939,3,18,1,1,2,1,8,3,1,3,15,1,1.0,1.0,8.0,1.0,5.0,6.0,1.0,10.0,,,,,,,3080110100102.0
3761,03180100102008,0318010010200804,939,3,18,1,1,2,1,8,4,2,3,12,1,1.0,1.0,5.0,1.0,5.0,6.0,2.0,,,,,,,,3080110100102.0
3762,03180100102008,0318010010200805,939,3,18,1,1,2,1,8,5,2,3,4,2,,,,,,,,,,,,,,,3080110100102.0
3763,03180100102016,0318010010201601,940,3,18,1,1,2,1,16,1,2,1,45,1,2.0,,,1.0,6.0,1.0,1.0,3.0,19.0,12.0,12.0,200.0,1.0,0.0,3080110100102.0
3764,03180100102016,0318010010201602,940,3,18,1,1,2,1,16,2,2,3,23,1,1.0,1.0,13.0,1.0,6.0,1.0,1.0,10.0,,,,,,,3080110100102.0
3765,03180100102016,0318010010201603,940,3,18,1,1,2,1,16,3,2,3,15,1,1.0,1.0,5.0,1.0,5.0,6.0,1.0,10.0,,,,,,,3080110100102.0
3766,03180100102016,0318010010201604,940,3,18,1,1,2,1,16,4,1,3,5,1,2.0,,,2.0,,,,,,,,,,,3080110100102.0
3767,03180100102016,0318010010201605,940,3,18,1,1,2,1,16,5,2,3,3,2,,,,,,,,,,,,,,,3080110100102.0
3768,03180100102016,0318010010201606,940,3,18,1,1,2,1,16,6,1,4,2,2,,,,,,,,,,,,,,,3080110100102.0
3769,03180100102035,0318010010203501,941,3,18,1,1,2,1,35,1,2,1,28,1,2.0,,,1.0,6.0,1.0,1.0,3.0,19.0,12.0,15.0,200.0,1.0,0.0,3080110100102.0
3770,03180100102035,0318010010203502,941,3,18,1,1,2,1,35,2,2,3,15,1,1.0,1.0,8.0,1.0,5.0,1.0,1.0,10.0,,,,,,,3080110100102.0
3771,03180100102035,0318010010203503,941,3,18,1,1,2,1,35,3,2,3,10,1,1.0,1.0,6.0,2.0,,,,,,,,,,,3080110100102.0
3772,03180100102054,0318010010205401,942,3,18,1,1,2,1,54,1,2,1,40,1,1.0,2.0,10.0,1.0,7.0,1.0,1.0,1.0,14.0,12.0,26.0,1630.0,2.0,,3080110100102.0
3773,03180100102054,0318010010205402,942,3,18,1,1,2,1,54,2,2,3,18,1,1.0,1.0,10.0,1.0,5.0,1.0,1.0,10.0,,,,,,,3080110100102.0
3774,03180100102054,0318010010205403,942,3,18,1,1,2,1,54,3,1,3,8,1,1.0,1.0,2.0,2.0,,,,,,,,,,,3080110100102.0
3775,03180100102054,0318010010205404,942,3,18,1,1,2,1,54,4,1,3,6,1,1.0,1.0,1.0,2.0,,,,,,,,,,,3080110100102.0
3776,03180100102073,0318010010207301,943,3,18,1,1,2,1,73,1,2,1,28,1,2.0,,,1.0,6.0,1.0,1.0,3.0,7.0,12.0,28.0,300.0,2.0,,3080110100102.0
3777,03180100102073,0318010010207302,943,3,18,1,1,2,1,73,2,1,3,6,1,1.0,1.0,0.0,2.0,,,,,,,,,,,3080110100102.0
3778,03180100102092,0318010010209201,944,3,18,1,1,2,1,92,1,1,1,42,1,1.0,2.0,14.0,1.0,6.0,6.0,1.0,1.0,14.0,12.0,20.0,3425.0,2.0,,3080110100102.0
3779,03180100102092,0318010010209202,944,3,18,1,1,2,1,92,2,1,3,18,1,1.0,1.0,12.0,1.0,5.0,6.0,1.0,10.0,,,,,,,3080110100102.0
3780,03180100102111,0318010010211101,945,3,18,1,1,2,1,111,1,2,1,36,1,1.0,2.0,16.0,1.0,1.0,1.0,1.0,1.0,15.0,12.0,22.0,3100.0,2.0,,3080110100102.0
3781,03180100102111,0318010010211102,945,3,18,1,1,2,1,111,2,1,2,42,1,1.0,2.0,6.0,1.0,1.0,6.0,1.0,3.0,13.0,12.0,30.0,1000.0,2.0,,3080110100102.0
3782,03180100102111,0318010010211103,945,3,18,1,1,2,1,111,3,2,7,22,1,1.0,2.0,14.0,1.0,5.0,1.0,1.0,14.0,,,,,,,3080110100102.0
3783,03180100102111,0318010010211104,945,3,18,1,1,2,1,111,4,2,3,4,2,,,,,,,,,,,,,,,3080110100102.0
3784,03180100102130,0318010010213001,946,3,18,1,1,2,1,130,1,1,1,50,1,2.0,,,1.0,1.0,6.0,1.0,8.0,,12.0,16.0,3200.0,2.0,,3080110100102.0
3785,03180100102130,0318010010213002,946,3,18,1,1,2,1,130,2,2,2,30,1,2.0,,,1.0,1.0,1.0,1.0,15.0,,,,,,,3080110100102.0
3786,03180100102130,0318010010213003,946,3,18,1,1,2,1,130,3,1,3,11,1,1.0,1.0,5.0,2.0,,,,,,,,,,,3080110100102.0
3787,03180100102130,0318010010213004,946,3,18,1,1,2,1,130,4,2,3,9,1,1.0,1.0,2.0,2.0,,,,,,,,,,,3080110100102.0
3788,03180100102130,0318010010213005,946,3,18,1,1,2,1,130,5,2,3,6,1,1.0,1.0,0.0,2.0,,,,,,,,,,,3080110100102.0
3789,03180100102130,0318010010213006,946,3,18,1,1,2,1,130,6,2,3,0,2,,,,,,,,,,,,,,,3080110100102.0
3790,03180100102149,0318010010214901,947,3,18,1,1,2,1,149,1,1,1,56,1,1.0,2.0,6.0,1.0,1.0,6.0,1.0,3.0,1.0,3.0,20.0,180.0,2.0,,3080110100102.0
3791,03180100102149,0318010010214902,947,3,18,1,1,2,1,149,2,2,2,35,1,2.0,,,1.0,2.0,1.0,1.0,15.0,,,,,,,3080110100102.0
3792,03180100102149,0318010010214903,947,3,18,1,1,2,1,149,3,2,3,15,1,1.0,1.0,4.0,1.0,5.0,1.0,1.0,10.0,,,,,,,3080110100102.0
3793,03180100102149,0318010010214904,947,3,18,1,1,2,1,149,4,2,3,13,1,1.0,1.0,1.0,1.0,5.0,1.0,2.0,,,,,,,,3080110100102.0
3794,03180100102149,0318010010214905,947,3,18,1,1,2,1,149,5,1,3,9,1,1.0,1.0,2.0,2.0,,,,,,,,,,,3080110100102.0
3795,03180100102149,0318010010214906,947,3,18,1,1,2,1,149,6,2,3,4,2,,,,,,,,,,,,,,,3080110100102.0
3796,03180100102168,0318010010216801,948,3,18,1,1,2,1,168,1,2,1,27,1,2.0,,,1.0,6.0,1.0,1.0,3.0,19.0,12.0,4.0,400.0,1.0,0.0,3080110100102.0
3797,03180100102168,0318010010216802,948,3,18,1,1,2,1,168,2,1,3,9,1,1.0,1.0,2.0,2.0,,,,,,,,,,,3080110100102.0
3798,03180100102168,0318010010216803,948,3,18,1,1,2,1,168,3,1,3,2,2,,,,,,,,,,,,,,,3080110100102.0
3799,03180100102168,0318010010216804,948,3,18,1,1,2,1,168,4,2,3,4,2,,,,,,,,,,,,,,,3080110100102.0
3800,03180201302007,0318020130200701,949,3,18,2,13,2,2,7,1,1,1,40,1,2.0,,,1.0,1.0,6.0,1.0,5.0,1.0,7.0,24.0,1500.0,2.0,,3080288801302.0
3801,03180201302007,0318020130200702,949,3,18,2,13,2,2,7,2,1,3,11,1,1.0,1.0,2.0,2.0,,,,,,,,,,,3080288801302.0
3802,03180201302007,0318020130200703,949,3,18,2,13,2,2,7,3,1,3,8,1,1.0,1.0,1.0,2.0,,,,,,,,,,,3080288801302.0
3803,03180201302007,0318020130200704,949,3,18,2,13,2,2,7,4,2,3,5,1,2.0,,,2.0,,,,,,,,,,,3080288801302.0
3804,03180201302007,0318020130200705,949,3,18,2,13,2,2,7,5,1,3,0,2,,,,,,,,,,,,,,,3080288801302.0
3805,03180201302007,0318020130200706,949,3,18,2,13,2,2,7,6,2,2,34,1,2.0,,,1.0,1.0,1.0,1.0,14.0,,,,,,,3080288801302.0
3806,03180201302024,0318020130202401,950,3,18,2,13,2,2,24,1,1,1,50,1,1.0,2.0,19.0,1.0,1.0,6.0,1.0,5.0,1.0,8.0,23.0,2000.0,2.0,,3080288801302.0
3807,03180201302024,0318020130202402,950,3,18,2,13,2,2,24,2,1,3,20,1,1.0,1.0,19.0,1.0,5.0,6.0,1.0,10.0,,,,,,,3080288801302.0
3808,03180201302024,0318020130202403,950,3,18,2,13,2,2,24,3,2,3,13,1,2.0,,,1.0,5.0,2.0,2.0,,,,,,,,3080288801302.0
3809,03180201302024,0318020130202404,950,3,18,2,13,2,2,24,4,2,3,11,1,2.0,,,2.0,,,,,,,,,,,3080288801302.0
3810,03180201302024,0318020130202405,950,3,18,2,13,2,2,24,5,1,3,9,1,2.0,,,2.0,,,,,,,,,,,3080288801302.0
3811,03180201302024,0318020130202406,950,3,18,2,13,2,2,24,6,2,3,7,1,1.0,1.0,0.0,2.0,,,,,,,,,,,3080288801302.0
3812,03180201302024,0318020130202407,950,3,18,2,13,2,2,24,7,1,4,2,2,,,,,,,,,,,,,,,3080288801302.0
3813,03180201302024,0318020130202408,950,3,18,2,13,2,2,24,8,2,2,45,1,2.0,,,1.0,1.0,1.0,1.0,14.0,,,,,,,3080288801302.0
3814,03180201302041,0318020130204101,951,3,18,2,13,2,2,41,1,1,1,30,1,1.0,2.0,19.0,1.0,1.0,6.0,1.0,5.0,1.0,8.0,22.0,2000.0,2.0,,3080288801302.0
3815,03180201302041,0318020130204102,951,3,18,2,13,2,2,41,2,1,3,4,2,,,,,,,,,,,,,,,3080288801302.0
3816,03180201302041,0318020130204103,951,3,18,2,13,2,2,41,3,1,3,0,2,,,,,,,,,,,,,,,3080288801302.0
3817,03180201302041,0318020130204104,951,3,18,2,13,2,2,41,4,2,2,26,1,2.0,,,1.0,1.0,1.0,1.0,14.0,,,,,,,3080288801302.0
3818,03180201302058,0318020130205801,952,3,18,2,13,2,2,58,1,1,1,40,1,2.0,,,1.0,1.0,6.0,1.0,5.0,1.0,8.0,24.0,1500.0,2.0,,3080288801302.0
3819,03180201302058,0318020130205802,952,3,18,2,13,2,2,58,2,2,3,10,1,1.0,1.0,3.0,2.0,,,,,,,,,,,3080288801302.0
3820,03180201302058,0318020130205803,952,3,18,2,13,2,2,58,3,1,3,8,1,1.0,1.0,1.0,2.0,,,,,,,,,,,3080288801302.0
3821,03180201302058,0318020130205804,952,3,18,2,13,2,2,58,4,1,3,5,1,1.0,1.0,0.0,2.0,,,,,,,,,,,3080288801302.0
3822,03180201302058,0318020130205805,952,3,18,2,13,2,2,58,5,2,2,36,1,2.0,,,1.0,1.0,1.0,1.0,14.0,,,,,,,3080288801302.0
3823,03180201302075,0318020130207501,953,3,18,2,13,2,2,75,1,1,1,42,1,1.0,2.0,8.0,1.0,1.0,6.0,1.0,5.0,1.0,6.0,30.0,1300.0,2.0,,3080288801302.0
3824,03180201302075,0318020130207502,953,3,18,2,13,2,2,75,2,1,3,24,1,1.0,1.0,15.0,1.0,3.0,6.0,1.0,10.0,,,,,,,3080288801302.0
3825,03180201302075,0318020130207503,953,3,18,2,13,2,2,75,3,1,3,20,1,1.0,1.0,9.0,1.0,3.0,6.0,1.0,10.0,,,,,,,3080288801302.0
3826,03180201302075,0318020130207504,953,3,18,2,13,2,2,75,4,2,3,14,1,1.0,1.0,8.0,1.0,3.0,1.0,2.0,,,,,,,,3080288801302.0
3827,03180201302075,0318020130207505,953,3,18,2,13,2,2,75,5,2,3,5,1,2.0,,,2.0,,,,,,,,,,,3080288801302.0
3828,03180201302075,0318020130207506,953,3,18,2,13,2,2,75,6,2,2,35,1,2.0,,,1.0,1.0,1.0,1.0,5.0,1.0,6.0,30.0,1300.0,2.0,,3080288801302.0
3829,03180201302092,0318020130209201,954,3,18,2,13,2,2,92,1,1,1,60,1,1.0,1.0,19.0,1.0,1.0,6.0,1.0,5.0,1.0,6.0,30.0,800.0,2.0,,3080288801302.0
3830,03180201302092,0318020130209202,954,3,18,2,13,2,2,92,2,1,4,10,1,1.0,1.0,3.0,2.0,,,,,,,,,,,3080288801302.0
3831,03180201302092,0318020130209203,954,3,18,2,13,2,2,92,3,2,2,50,1,2.0,,,1.0,1.0,1.0,1.0,5.0,1.0,6.0,30.0,800.0,2.0,,3080288801302.0
3832,03180201302109,0318020130210901,955,3,18,2,13,2,2,109,1,1,1,40,1,1.0,2.0,6.0,1.0,1.0,6.0,1.0,5.0,1.0,7.0,6.0,1800.0,2.0,,3080288801302.0
3833,03180201302109,0318020130210902,955,3,18,2,13,2,2,109,2,1,3,20,1,1.0,1.0,10.0,1.0,3.0,6.0,1.0,10.0,,,,,,,3080288801302.0
3834,03180201302109,0318020130210903,955,3,18,2,13,2,2,109,3,1,3,14,1,1.0,1.0,4.0,1.0,3.0,6.0,2.0,,,,,,,,3080288801302.0
3835,03180201302109,0318020130210904,955,3,18,2,13,2,2,109,4,2,3,12,1,1.0,1.0,3.0,1.0,3.0,1.0,2.0,,,,,,,,3080288801302.0
3836,03180201302109,0318020130210905,955,3,18,2,13,2,2,109,5,2,3,7,1,1.0,1.0,2.0,2.0,,,,,,,,,,,3080288801302.0
3837,03180201302109,0318020130210906,955,3,18,2,13,2,2,109,6,1,3,1,2,,,,,,,,,,,,,,,3080288801302.0
3838,03180201302109,0318020130210907,955,3,18,2,13,2,2,109,7,1,3,1,2,,,,,,,,,,,,,,,3080288801302.0
3839,03180201302109,0318020130210908,955,3,18,2,13,2,2,109,8,2,2,32,1,2.0,,,1.0,1.0,1.0,1.0,5.0,1.0,7.0,30.0,1800.0,2.0,,3080288801302.0
3840,03180201302126,0318020130212601,956,3,18,2,13,2,2,126,1,1,1,45,1,2.0,,,1.0,1.0,6.0,1.0,5.0,1.0,6.0,30.0,1500.0,2.0,,3080288801302.0
3841,03180201302126,0318020130212602,956,3,18,2,13,2,2,126,2,2,3,20,1,2.0,,,1.0,3.0,1.0,1.0,5.0,1.0,6.0,30.0,1500.0,2.0,,3080288801302.0
3842,03180201302126,0318020130212603,956,3,18,2,13,2,2,126,3,1,3,13,1,1.0,1.0,3.0,1.0,3.0,6.0,2.0,,,,,,,,3080288801302.0
3843,03180201302126,0318020130212604,956,3,18,2,13,2,2,126,4,2,3,14,1,1.0,1.0,3.0,1.0,3.0,1.0,2.0,,,,,,,,3080288801302.0
3844,03180201302126,0318020130212605,956,3,18,2,13,2,2,126,5,2,3,10,1,1.0,1.0,1.0,2.0,,,,,,,,,,,3080288801302.0
3845,03180201302126,0318020130212606,956,3,18,2,13,2,2,126,6,1,3,5,1,2.0,,,2.0,,,,,,,,,,,3080288801302.0
3846,03180201302126,0318020130212607,956,3,18,2,13,2,2,126,7,2,3,2,2,,,,,,,,,,,,,,,3080288801302.0
3847,03180201302126,0318020130212608,956,3,18,2,13,2,2,126,8,2,2,38,1,2.0,,,1.0,1.0,1.0,1.0,5.0,1.0,6.0,30.0,1500.0,2.0,,3080288801302.0
3848,03180201302143,0318020130214301,957,3,18,2,13,2,2,143,1,1,1,35,1,2.0,,,1.0,1.0,6.0,1.0,5.0,1.0,8.0,30.0,2500.0,2.0,,3080288801302.0
3849,03180201302143,0318020130214302,957,3,18,2,13,2,2,143,2,1,3,12,1,1.0,1.0,4.0,1.0,5.0,6.0,2.0,,,,,,,,3080288801302.0
3850,03180201302143,0318020130214303,957,3,18,2,13,2,2,143,3,2,3,10,1,1.0,1.0,3.0,2.0,,,,,,,,,,,3080288801302.0
3851,03180201302143,0318020130214304,957,3,18,2,13,2,2,143,4,1,3,8,1,2.0,,,2.0,,,,,,,,,,,3080288801302.0
3852,03180201302143,0318020130214305,957,3,18,2,13,2,2,143,5,1,3,6,1,2.0,,,2.0,,,,,,,,,,,3080288801302.0
3853,03180201302143,0318020130214306,957,3,18,2,13,2,2,143,6,1,3,2,2,,,,,,,,,,,,,,,3080288801302.0
3854,03180201302143,0318020130214307,957,3,18,2,13,2,2,143,7,2,3,2,2,,,,,,,,,,,,,,,3080288801302.0
3855,03180201302143,0318020130214308,957,3,18,2,13,2,2,143,8,2,2,30,1,2.0,,,1.0,1.0,1.0,1.0,14.0,,,,,,,3080288801302.0
3856,03180201302160,0318020130216001,958,3,18,2,13,2,2,160,1,1,1,50,1,2.0,,,1.0,1.0,6.0,1.0,1.0,1.0,12.0,30.0,2500.0,2.0,,3080288801302.0
3857,03180201302160,0318020130216002,958,3,18,2,13,2,2,160,2,1,3,13,1,1.0,1.0,2.0,1.0,5.0,6.0,2.0,,,,,,,,3080288801302.0
3858,03180201302160,0318020130216003,958,3,18,2,13,2,2,160,3,2,3,10,1,2.0,,,2.0,,,,,,,,,,,3080288801302.0
3859,03180201302160,0318020130216004,958,3,18,2,13,2,2,160,4,2,3,8,1,2.0,,,2.0,,,,,,,,,,,3080288801302.0
3860,03180201302160,0318020130216005,958,3,18,2,13,2,2,160,5,1,3,22,1,1.0,2.0,10.0,1.0,5.0,6.0,1.0,14.0,,,,,,,3080288801302.0
3861,03180201302160,0318020130216006,958,3,18,2,13,2,2,160,6,1,3,2,2,,,,,,,,,,,,,,,3080288801302.0
3862,03180201302160,0318020130216007,958,3,18,2,13,2,2,160,7,2,2,40,1,2.0,,,1.0,1.0,1.0,1.0,14.0,,,,,,,3080288801302.0
3863,03180201302177,0318020130217701,959,3,18,2,13,2,2,177,1,1,1,33,1,1.0,2.0,19.0,1.0,1.0,6.0,1.0,1.0,19.0,12.0,30.0,2000.0,2.0,,3080288801302.0
3864,03180201302177,0318020130217702,959,3,18,2,13,2,2,177,2,2,3,11,1,1.0,1.0,3.0,2.0,,,,,,,,,,,3080288801302.0
3865,03180201302177,0318020130217703,959,3,18,2,13,2,2,177,3,2,3,8,1,2.0,,,2.0,,,,,,,,,,,3080288801302.0
3866,03180201302177,0318020130217704,959,3,18,2,13,2,2,177,4,1,3,6,1,2.0,,,2.0,,,,,,,,,,,3080288801302.0
3867,03180201302177,0318020130217705,959,3,18,2,13,2,2,177,5,1,3,4,2,,,,,,,,,,,,,,,3080288801302.0
3868,03180201302177,0318020130217706,959,3,18,2,13,2,2,177,6,2,2,30,1,2.0,,,1.0,1.0,1.0,1.0,14.0,,,,,,,3080288801302.0
3869,03180201302194,0318020130219401,960,3,18,2,13,2,2,194,1,1,1,35,1,2.0,,,1.0,1.0,6.0,1.0,2.0,1.0,8.0,22.0,1950.0,2.0,,3080288801302.0
3870,03180201302194,0318020130219402,960,3,18,2,13,2,2,194,2,1,3,11,1,1.0,1.0,3.0,2.0,,,,,,,,,,,3080288801302.0
3871,03180201302194,0318020130219403,960,3,18,2,13,2,2,194,3,2,3,10,1,1.0,1.0,2.0,2.0,,,,,,,,,,,3080288801302.0
3872,03180201302194,0318020130219404,960,3,18,2,13,2,2,194,4,1,3,8,1,2.0,,,2.0,,,,,,,,,,,3080288801302.0
3873,03180201302194,0318020130219405,960,3,18,2,13,2,2,194,5,1,3,6,1,2.0,,,2.0,,,,,,,,,,,3080288801302.0
3874,03180201302194,0318020130219406,960,3,18,2,13,2,2,194,6,2,2,30,1,2.0,,,1.0,1.0,1.0,1.0,14.0,,,,,,,3080288801302.0
3875,03180302503003,0318030250300301,961,3,18,3,25,3,2,3,1,2,1,50,1,2.0,,,1.0,8.0,1.0,1.0,3.0,19.0,12.0,15.0,4000.0,1.0,0.0,3080388802503.0
3876,03180302503003,0318030250300302,961,3,18,3,25,3,2,3,2,2,3,12,1,1.0,1.0,6.0,1.0,5.0,2.0,2.0,,,,,,,,3080388802503.0
3877,03180302503019,0318030250301901,962,3,18,3,25,3,2,19,1,2,1,28,1,2.0,,,1.0,6.0,1.0,1.0,5.0,1.0,8.0,22.0,2000.0,2.0,,3080388802503.0
3878,03180302503019,0318030250301902,962,3,18,3,25,3,2,19,2,2,3,7,1,1.0,1.0,1.0,2.0,,,,,,,,,,,3080388802503.0
3879,03180302503019,0318030250301903,962,3,18,3,25,3,2,19,3,1,3,2,2,,,,,,,,,,,,,,,3080388802503.0
3880,03180302503035,0318030250303501,963,3,18,3,25,3,2,35,1,2,1,28,1,2.0,,,1.0,6.0,1.0,1.0,5.0,1.0,8.0,20.0,2500.0,2.0,,3080388802503.0
3881,03180302503035,0318030250303502,963,3,18,3,25,3,2,35,2,2,3,5,1,2.0,,,2.0,,,,,,,,,,,3080388802503.0
3882,03180302503035,0318030250303503,963,3,18,3,25,3,2,35,3,2,5,18,1,1.0,1.0,7.0,1.0,5.0,1.0,1.0,10.0,,,,,,,3080388802503.0
3883,03180302503051,0318030250305101,964,3,18,3,25,3,2,51,1,1,1,34,1,1.0,2.0,8.0,1.0,1.0,6.0,1.0,5.0,1.0,8.0,22.0,2500.0,2.0,,3080388802503.0
3884,03180302503051,0318030250305102,964,3,18,3,25,3,2,51,2,2,3,10,1,1.0,1.0,3.0,2.0,,,,,,,,,,,3080388802503.0
3885,03180302503051,0318030250305103,964,3,18,3,25,3,2,51,3,2,2,30,1,2.0,,,1.0,1.0,1.0,1.0,14.0,,,,,,,3080388802503.0
3886,03180302503067,0318030250306701,965,3,18,3,25,3,2,67,1,1,1,30,1,1.0,1.0,15.0,1.0,1.0,6.0,1.0,1.0,19.0,9.0,26.0,3200.0,2.0,,3080388802503.0
3887,03180302503067,0318030250306702,965,3,18,3,25,3,2,67,2,2,3,4,2,,,,,,,,,,,,,,,3080388802503.0
3888,03180302503067,0318030250306703,965,3,18,3,25,3,2,67,3,2,2,22,1,1.0,2.0,10.0,1.0,1.0,1.0,1.0,15.0,,,,,,,3080388802503.0
3889,03180302503083,0318030250308301,966,3,18,3,25,3,2,83,1,2,1,31,1,2.0,,,1.0,6.0,1.0,1.0,5.0,1.0,6.0,30.0,1000.0,2.0,,3080388802503.0
3890,03180302503083,0318030250308302,966,3,18,3,25,3,2,83,2,2,3,15,1,1.0,1.0,7.0,1.0,3.0,1.0,1.0,10.0,,,,,,,3080388802503.0
3891,03180302503083,0318030250308303,966,3,18,3,25,3,2,83,3,2,3,15,1,1.0,1.0,4.0,1.0,3.0,1.0,1.0,10.0,,,,,,,3080388802503.0
3892,03180302503083,0318030250308304,966,3,18,3,25,3,2,83,4,1,3,10,1,1.0,1.0,4.0,2.0,,,,,,,,,,,3080388802503.0
3893,03180302503099,0318030250309901,967,3,18,3,25,3,2,99,1,1,1,48,1,2.0,,,1.0,1.0,6.0,1.0,5.0,1.0,6.0,30.0,1600.0,2.0,,3080388802503.0
3894,03180302503099,0318030250309902,967,3,18,3,25,3,2,99,2,1,3,22,1,1.0,1.0,13.0,1.0,3.0,6.0,1.0,10.0,,,,,,,3080388802503.0
3895,03180302503099,0318030250309903,967,3,18,3,25,3,2,99,3,1,3,19,1,1.0,1.0,13.0,1.0,3.0,6.0,1.0,10.0,,,,,,,3080388802503.0
3896,03180302503099,0318030250309904,967,3,18,3,25,3,2,99,4,1,3,17,1,1.0,1.0,10.0,1.0,3.0,6.0,1.0,10.0,,,,,,,3080388802503.0
3897,03180302503099,0318030250309905,967,3,18,3,25,3,2,99,5,2,3,15,1,1.0,1.0,6.0,1.0,3.0,1.0,1.0,10.0,,,,,,,3080388802503.0
3898,03180302503099,0318030250309906,967,3,18,3,25,3,2,99,6,2,3,8,1,1.0,1.0,2.0,2.0,,,,,,,,,,,3080388802503.0
3899,03180302503099,0318030250309907,967,3,18,3,25,3,2,99,7,2,2,30,1,2.0,,,1.0,1.0,1.0,1.0,5.0,1.0,6.0,30.0,1600.0,2.0,,3080388802503.0
3900,03180302503115,0318030250311501,968,3,18,3,25,3,2,115,1,2,1,38,1,2.0,,,1.0,6.0,1.0,1.0,5.0,1.0,6.0,30.0,800.0,2.0,,3080388802503.0
