,HHID,H2,H3,H4,H5,H6,H7,H8,H9,H12,H13,H14,H14_unit,H15,C2
240,01010301101004,13,2,,,,,,,,,,,,1
241,01010301101004,14,1,1.0,,,,,,12.0,15.0,51.0,15.0,20.0,1
242,01010301101004,15,2,,,,,,,,,,,,1
243,01010301101004,16,2,,,,,,,,,,,,1
244,01010301101004,17,2,,,,,,,,,,,,1
245,01010301101004,18,2,,,,,,,,,,,,1
246,01010301101004,19,2,,,,,,,,,,,,1
247,01010301101005,1,2,,,,,,,,,,,,2
248,01010301101005,2,2,,,,,,,,,,,,2
249,01010301101005,3,1,,1.0,,1.0,,,4.0,12.0,16.0,12.0,0.0,2
250,01010301101005,4,1,,,,,,11.0,5.0,1.0,30.0,1.0,0.0,2
251,01010301101005,5,2,,,,,,,-88.0,-88.0,-88.0,-88.0,-88.0,2
252,01010301101005,6,1,1.0,,,,,,300.0,14.0,1.0,7.0,18.0,2
253,01010301101005,7,2,,,,,,,,,,,,2
254,01010301101005,8,2,,,,,,,,,,,,2
255,01010301101005,9,1,,1.0,,1.0,,,1.0,5.0,4.0,5.0,0.0,2
256,01010301101005,10,2,,,,,,,,,,,,2
257,01010301101005,11,2,,,,,,,,,,,,2
258,01010301101005,12,2,,,,,,,,,,,,2
259,01010301101005,13,2,,,,,,,,,,,,2
260,01010301101005,14,2,,,,,,,,,,,,2
261,01010301101005,15,2,,,,,,,,,,,,2
262,01010301101005,16,2,,,,,,,,,,,,2
263,01010301101005,17,2,,,,,,,,,,,,2
264,01010301101005,18,2,,,,,,,,,,,,2
265,01010301101005,19,2,,,,,,,,,,,,2
266,01010301101010,1,2,,,,,,,,,,,,1
267,01010301101010,2,2,,,,,,,,,,,,1
268,01010301101010,3,1,,1.0,,,,,2.0,12.0,8.0,12.0,0.0,1
269,01010301101010,4,1,,1.0,,1.0,,,13.0,1.0,50.0,1.0,0.0,1
270,01010301101010,5,2,,,,,,,-88.0,-88.0,-88.0,-88.0,-88.0,1
271,01010301101010,6,2,,,,,,,,,,,,1
