,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,a8,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H14_w,H14_t,H15_w,H15_t,H16_w,H16_t,H17_w,H17_t,H18,H21_mm,H21_yy,H19,H20_first,H20_second,H21,H22,H23,H24,H25,H26
45,03130401201,3,13,4,12,1,2,17,1,,,,,1.0,1100.0,2.0,170.0,10.0,2.0,,,,24.0,,4.0,,1.0,2.0,,,,111.0,,2.0,1.0,1.0,2.0,1,10.0
46,03130803001,3,13,8,30,1,2,20,1,,,,,12.0,1100.0,4.0,70.0,4.0,1.0,2.0,2.0,10.0,20.0,0.0,3.0,2.0,2.0,1.0,3.0,2009.0,3.0,1.0,3.0,4.0,2.0,1.0,5.0,1,70.0
47,03131000101,3,13,10,1,1,1,1,1,,,,,22.0,0.0,2.0,8233.0,310.0,1.0,2.0,2.0,20.0,20.0,2.0,3.0,2.0,2.0,1.0,10.0,2008.0,3.0,8.0,,1.0,1.0,1.0,1.0,2,
48,03140400104,3,14,4,1,4,1,1,1,,,,,20.0,0.0,3.0,,,1.0,1.0,1.0,3.0,12.0,1.0,2.0,2.0,2.0,1.0,11.0,2008.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2,
49,03140901602,3,14,9,16,2,2,21,3,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.0
50,03141000205,3,14,10,2,5,2,18,1,,,,,6.0,1100.0,2.0,160.0,9.0,1.0,2.0,2.0,18.0,23.0,1.0,3.0,2.0,2.0,1.0,2.0,2009.0,2.0,3.0,6.0,4.0,3.0,1.0,4.0,1,5.0
51,03141001902,3,14,10,19,2,2,19,3,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
52,03141202605,3,14,12,26,5,2,2,1,,,,,1.0,16000.0,4.0,24.0,0.0,1.0,2.0,2.0,24.0,24.0,4.0,4.0,1.0,1.0,2.0,,,,8.0,3.0,3.0,2.0,2.0,5.0,1,1.0
53,03141700416,3,14,17,4,16,1,3,1,,,,,32.0,-888.0,2.0,10000.0,700.0,1.0,2.0,2.0,12.0,24.0,1.0,3.0,2.0,2.0,1.0,2.0,2009.0,3.0,8.0,2.0,1.0,1.0,1.0,2.0,2,
54,03150300101,3,15,3,1,1,2,2,3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
55,03150300905,3,15,3,9,5,2,5,3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
56,03150800103,3,15,8,1,3,1,1,1,,,,,25.0,-888.0,2.0,3000.0,500.0,1.0,2.0,2.0,20.0,23.0,2.0,4.0,2.0,1.0,1.0,-888.0,-888.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2,
57,03151900506,3,15,19,5,6,2,6,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.0
58,03152000705,3,15,20,7,5,1,1,1,,,,,25.0,-888.0,2.0,4250.0,350.0,1.0,2.0,2.0,20.0,24.0,3.0,4.0,2.0,1.0,1.0,-888.0,-888.0,1.0,3.0,,3.0,2.0,2.0,2.0,2,
59,03160201902,3,16,2,19,2,2,3,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.0
60,03160204005,3,16,2,40,5,2,2,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
61,03160500103,3,16,5,1,3,1,1,1,,,,,20.0,-888.0,2.0,1250.0,175.0,1.0,2.0,2.0,20.0,23.0,2.0,4.0,2.0,1.0,1.0,-888.0,-888.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,2,
62,03160600803,3,16,6,8,3,2,1,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.0
63,03161500214,3,16,15,2,14,1,1,1,,,,,15.0,-888.0,2.0,1280.0,350.0,1.0,2.0,2.0,20.0,20.0,2.0,4.0,2.0,1.0,1.0,-888.0,-888.0,2.0,3.0,8.0,3.0,2.0,2.0,2.0,2,
64,03170400206,3,17,4,2,6,2,7,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
65,03170401804,3,17,4,18,4,2,5,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0
66,03170403702,3,17,4,37,2,2,6,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
67,03170601005,3,17,6,10,5,2,4,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0
68,03180100102,3,18,1,1,2,1,1,1,,,,,23.0,4000.0,2.0,1613.0,300.0,2.0,,,,24.0,,4.0,,1.0,1.0,10.0,2008.0,3.0,8.0,,2.0,1.0,2.0,2.0,2,
