,HHID,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I14,I15,I16,I17,I18,I19,I20_a,I20_b,I21_a,I21_b,I22,I23,I24,I25,I26,I27,I28,I29,I31,I32,I33,I34_1,I34_2
68,01010301101046,3,1,12.0,1.0,45.0,,2.0,7.0,1.0,1.0,45.0,2.0,1.0,56.0,2.0,2.0,,4.0,,2.0,,5.0,7.0,2.0,60.0,0.0,60.0,0.0,1.0,2.0,9.0,3.0,2.0,2.0
69,01010301101052,1,1,,,,,,,,1.0,0.0,1.0,5.0,,,1.0,1.0,3.0,9.0,2.0,2.0,5.0,7.0,3.0,60.0,60.0,60.0,30.0,2.0,,9.0,2.0,11.0,
70,01010301101052,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,01010301101052,3,1,48.0,1.0,40.0,,2.0,7.0,1.0,1.0,80.0,2.0,1.0,56.0,2.0,2.0,,4.0,,2.0,,5.0,7.0,2.0,60.0,0.0,60.0,0.0,1.0,2.0,9.0,2.0,2.0,
72,01010400404008,1,1,,,,,,,,1.0,0.0,1.0,3.0,6.0,1.0,1.0,1.0,3.0,,1.0,,10.0,7.0,4.0,60.0,60.0,60.0,120.0,2.0,,9.0,2.0,11.0,
73,01010400404008,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,01010400404008,3,1,24.0,1.0,60.0,,2.0,7.0,1.0,1.0,80.0,2.0,3.0,6.0,2.0,1.0,1.0,4.0,,2.0,,5.0,7.0,1.0,60.0,0.0,0.0,0.0,1.0,2.0,9.0,2.0,6.0,2.0
75,01010400404027,1,1,,,,,,,,1.0,0.0,1.0,5.0,,,2.0,,3.0,,1.0,,5.0,7.0,3.0,60.0,60.0,60.0,10.0,2.0,,9.0,2.0,11.0,
76,01010400404027,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,01010400404027,3,1,72.0,1.0,30.0,,2.0,7.0,1.0,1.0,60.0,2.0,2.0,25.0,2.0,2.0,,4.0,,2.0,,5.0,7.0,1.0,60.0,0.0,0.0,0.0,1.0,1.0,9.0,2.0,2.0,2.0
78,01010400404046,1,1,,,,,,,,1.0,0.0,1.0,3.0,3.0,1.0,2.0,,3.0,,2.0,,5.0,7.0,3.0,120.0,60.0,60.0,30.0,2.0,,9.0,3.0,11.0,
79,01010400404046,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,01010400404046,3,1,12.0,1.0,35.0,,2.0,7.0,1.0,1.0,40.0,2.0,3.0,12.0,1.0,2.0,,4.0,,2.0,,5.0,7.0,1.0,60.0,0.0,0.0,0.0,1.0,2.0,9.0,3.0,2.0,6.0
81,01010400404060,1,1,,,,,,,,1.0,0.0,1.0,3.0,7.0,1.0,1.0,1.0,3.0,,1.0,,5.0,7.0,3.0,60.0,60.0,60.0,60.0,2.0,,9.0,1.0,11.0,
82,01010400404060,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,01010400404060,3,1,24.0,1.0,35.0,,2.0,7.0,1.0,1.0,80.0,2.0,2.0,25.0,2.0,2.0,,4.0,,2.0,,5.0,7.0,1.0,60.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,2.0,6.0
84,01010400404084,1,1,,,,,,,,1.0,0.0,1.0,5.0,,,2.0,,3.0,,1.0,,5.0,7.0,1.0,120.0,0.0,0.0,0.0,2.0,,9.0,1.0,11.0,
85,01010400404084,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,01010400404084,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,01010400404103,1,1,,,,,,,,1.0,0.0,1.0,3.0,8.0,1.0,1.0,1.0,3.0,,1.0,,10.0,7.0,3.0,30.0,30.0,30.0,15.0,2.0,,9.0,6.0,11.0,
88,01010400404103,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,01010400404103,3,1,24.0,1.0,25.0,,2.0,7.0,1.0,1.0,60.0,2.0,3.0,8.0,1.0,1.0,1.0,4.0,,3.0,,5.0,7.0,1.0,60.0,0.0,0.0,0.0,1.0,2.0,9.0,6.0,2.0,2.0
90,01010400404122,1,1,,,,,,,,1.0,0.0,1.0,3.0,6.0,1.0,1.0,1.0,3.0,,2.0,,5.0,7.0,3.0,30.0,30.0,30.0,30.0,2.0,,9.0,2.0,11.0,
91,01010400404122,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,01010400404122,3,1,72.0,1.0,25.0,,2.0,7.0,1.0,1.0,60.0,2.0,2.0,25.0,2.0,2.0,,4.0,,3.0,,5.0,7.0,1.0,60.0,0.0,0.0,0.0,1.0,1.0,9.0,2.0,2.0,2.0
93,01010400404141,1,1,,,,,,,,1.0,0.0,1.0,5.0,,,2.0,,3.0,,2.0,,1.0,7.0,3.0,60.0,60.0,60.0,30.0,2.0,,9.0,1.0,11.0,
94,01010400404141,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,01010400404141,3,1,12.0,1.0,40.0,,2.0,7.0,1.0,1.0,0.0,2.0,2.0,12.0,2.0,2.0,,4.0,,1.0,,5.0,7.0,1.0,60.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,2.0,6.0
96,01010400404160,1,1,,,,,,,,6.0,0.0,1.0,3.0,9.0,1.0,1.0,1.0,3.0,,1.0,,5.0,7.0,3.0,60.0,60.0,60.0,30.0,2.0,,9.0,2.0,11.0,
97,01010400404160,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,01010400404160,3,1,36.0,1.0,35.0,,2.0,9.0,1.0,1.0,50.0,2.0,1.0,12.0,2.0,2.0,,4.0,,2.0,,5.0,7.0,1.0,60.0,0.0,0.0,0.0,1.0,1.0,9.0,2.0,2.0,6.0
99,01010400404178,1,1,,,,,,,,1.0,0.0,1.0,3.0,6.0,2.0,1.0,1.0,3.0,,1.0,,5.0,7.0,3.0,30.0,30.0,30.0,30.0,2.0,,9.0,2.0,11.0,
100,01010400404178,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
