,HHID,M_a,M_b,M1
471,01010400404141,0.0,,7
472,01010400404141,0.0,,8
473,01010400404141,0.0,,9
474,01010400404141,1.0,,10
475,01010400404141,0.0,,11
476,01010400404141,0.0,,12
477,01010400404141,0.0,,13
478,01010400404141,0.0,,14
479,01010400404141,0.0,,15
480,01010400404160,0.0,,1
481,01010400404160,0.0,,2
482,01010400404160,0.0,,3
483,01010400404160,0.0,,4
484,01010400404160,0.0,,5
485,01010400404160,0.0,,6
486,01010400404160,0.0,,7
487,01010400404160,3.0,,8
488,01010400404160,0.0,,9
489,01010400404160,1.0,,10
490,01010400404160,0.0,,11
491,01010400404160,0.0,,12
492,01010400404160,0.0,,13
493,01010400404160,0.0,,14
494,01010400404160,0.0,,15
495,01010400404178,0.0,,1
496,01010400404178,0.0,,2
497,01010400404178,0.0,,3
498,01010400404178,0.0,,4
499,01010400404178,0.0,,5
500,01010400404178,0.0,,6
501,01010400404178,0.0,,7
502,01010400404178,3.0,,8
503,01010400404178,0.0,,9
504,01010400404178,1.0,,10
505,01010400404178,0.0,,11
506,01010400404178,0.0,,12
507,01010400404178,0.0,,13
508,01010400404178,0.0,,14
509,01010400404178,0.0,,15
510,01010400404197,0.0,,1
511,01010400404197,0.0,,2
512,01010400404197,0.0,,3
513,01010400404197,0.0,,4
514,01010400404197,0.0,,5
515,01010400404197,0.0,,6
516,01010400404197,0.0,,7
517,01010400404197,3.0,,8
518,01010400404197,0.0,,9
519,01010400404197,1.0,,10
520,01010400404197,0.0,,11
521,01010400404197,0.0,,12
522,01010400404197,0.0,,13
523,01010400404197,0.0,,14
524,01010400404197,0.0,,15
525,01010400404216,0.0,,1
526,01010400404216,0.0,,2
527,01010400404216,0.0,,3
528,01010400404216,0.0,,4
529,01010400404216,0.0,,5
530,01010400404216,0.0,,6
531,01010400404216,0.0,,7
532,01010400404216,5.0,,8
533,01010400404216,0.0,,9
534,01010400404216,1.0,,10
535,01010400404216,0.0,,11
536,01010400404216,16.0,,12
537,01010400404216,0.0,,13
538,01010400404216,0.0,,14
539,01010400404216,0.0,,15
540,01010400804007,0.0,,1
541,01010400804007,0.0,,2
542,01010400804007,1.0,12.0,3
543,01010400804007,0.0,,4
544,01010400804007,0.0,,5
545,01010400804007,0.0,,6
546,01010400804007,0.0,,7
547,01010400804007,6.0,,8
548,01010400804007,0.0,,9
549,01010400804007,2.0,,10
550,01010400804007,0.0,,11
551,01010400804007,0.0,,12
552,01010400804007,0.0,,13
553,01010400804007,0.0,,14
554,01010400804007,0.0,,15
555,01010400804027,0.0,,1
556,01010400804027,0.0,,2
557,01010400804027,0.0,,3
558,01010400804027,0.0,,4
559,01010400804027,0.0,,5
560,01010400804027,0.0,,6
561,01010400804027,0.0,,7
562,01010400804027,0.0,,8
563,01010400804027,0.0,,9
564,01010400804027,0.0,,10
565,01010400804027,0.0,,11
566,01010400804027,0.0,,12
567,01010400804027,0.0,,13
568,01010400804027,0.0,,14
569,01010400804027,0.0,,15
570,01010400804047,0.0,,1
571,01010400804047,0.0,,2
572,01010400804047,0.0,,3
573,01010400804047,0.0,,4
574,01010400804047,0.0,,5
575,01010400804047,0.0,,6
576,01010400804047,0.0,,7
577,01010400804047,0.0,,8
578,01010400804047,0.0,,9
579,01010400804047,0.0,,10
580,01010400804047,0.0,,11
581,01010400804047,0.0,,12
582,01010400804047,0.0,,13
583,01010400804047,0.0,,14
584,01010400804047,0.0,,15
585,01010400804067,0.0,,1
586,01010400804067,0.0,,2
