,HHID,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18
1975,04360101005008,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,,,,,,,,
1976,04360101005009,2.0,,,,,,,,,2.0,,,,,,,,
1977,04360101005010,2.0,2.0,1.0,,,,,,,2.0,,,,,,,,
1978,04360101005011,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
1979,04360101005012,4.0,,,,,,,,,3.0,,,,,,,,
1980,04360101402001,2.0,2.0,2.0,888.0,1.0,888.0,1.0,888.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
1981,04360101402002,4.0,,,,,,,,,3.0,,,,,,,,
1982,04360101402003,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
1983,04360101402004,2.0,1.0,2.0,1.0,,,,,,4.0,,,,,,,,
1984,04360101402005,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
1985,04360101402006,2.0,1.0,1.0,,,,,,,2.0,,,,,,,,
1986,04360101402007,4.0,,,,,,,,,4.0,,,,,,,,
1987,04360101402008,4.0,,,,,,,,,3.0,,,,,,,,
1988,04360101402009,4.0,,,,,,,,,2.0,,,,,,,,
1989,04360101402010,4.0,,,,,,,,,3.0,,,,,,,,
1990,04360101402011,4.0,,,,,,,,,3.0,,,,,,,,
1991,04360101402012,2.0,1.0,1.0,,,,,,,4.0,,,,,,,,
1992,04370100405001,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0
1993,04370100405002,2.0,1.0,2.0,2.0,1.0,1.0,,,,3.0,,,,,,,,
1994,04370100405003,2.0,1.0,2.0,1.0,,,,,,2.0,,,,,,,,
1995,04370100405004,4.0,,,,,,,,,3.0,,,,,,,,
1996,04370100405005,2.0,1.0,2.0,1.0,,,,,,3.0,,,,,,,,
1997,04370100405006,4.0,,,,,,,,,3.0,,,,,,,,
1998,04370100405007,4.0,,,,,,,,,3.0,,,,,,,,
1999,04370100405008,4.0,,,,,,,,,3.0,,,,,,,,
2000,04370100405009,4.0,,,,,,,,,3.0,,,,,,,,
2001,04370100405010,4.0,,,,,,,,,3.0,,,,,,,,
2002,04370100405011,4.0,,,,,,,,,3.0,,,,,,,,
2003,04370100405012,4.0,,,,,,,,,3.0,,,,,,,,
2004,04370100805001,4.0,,,,,,,,,3.0,,,,,,,,
2005,04370100805002,4.0,,,,,,,,,3.0,,,,,,,,
2006,04370100805003,4.0,,,,,,,,,3.0,,,,,,,,
2007,04370100805004,4.0,,,,,,,,,3.0,,,,,,,,
2008,04370100805005,4.0,,,,,,,,,3.0,,,,,,,,
2009,04370100805006,4.0,,,,,,,,,3.0,,,,,,,,
2010,04370100805007,4.0,,,,,,,,,3.0,,,,,,,,
2011,04370100805008,4.0,,,,,,,,,3.0,,,,,,,,
2012,04370100805009,4.0,,,,,,,,,3.0,,,,,,,,
2013,04370100805010,4.0,,,,,,,,,3.0,,,,,,,,
2014,04370100805011,4.0,,,,,,,,,3.0,,,,,,,,
2015,04370100805012,4.0,,,,,,,,,3.0,,,,,,,,
2016,04370101213001,3.0,,,,,,,,,3.0,,,,,,,,
2017,04370101213002,3.0,,,,,,,,,3.0,,,,,,,,
2018,04370101213003,4.0,,,,,,,,,3.0,,,,,,,,
2019,04370101213004,4.0,,,,,,,,,3.0,,,,,,,,
2020,04370101213005,4.0,,,,,,,,,3.0,,,,,,,,
2021,04370101213006,4.0,,,,,,,,,3.0,,,,,,,,
2022,04370101213007,4.0,,,,,,,,,3.0,,,,,,,,
2023,04370101213008,4.0,,,,,,,,,3.0,,,,,,,,
2024,04370101213009,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2025,04370101213010,4.0,,,,,,,,,3.0,,,,,,,,
2026,04370101213011,4.0,,,,,,,,,3.0,,,,,,,,
2027,04370101213012,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
2028,04380301901001,3.0,,,,,,,,,2.0,,,,,,,,
2029,04380301901002,2.0,2.0,2.0,888.0,2.0,2.0,555.0,2.0,3.0,1.0,2.0,2.0,2.0,555.0,2.0,555.0,2.0,555.0
2030,04380301901003,1.0,2.0,2.0,1.0,,,,,,1.0,2.0,1.0,,,,,,
2031,04380301901004,1.0,2.0,2.0,888.0,555.0,888.0,555.0,2.0,3.0,,,,,,,,,
2032,04380301901005,4.0,,,,,,,,,3.0,,,,,,,,
2033,04380301901006,1.0,2.0,2.0,888.0,555.0,2.0,555.0,2.0,2.0,1.0,2.0,2.0,2.0,555.0,1.0,,,
2034,04380301901007,5.0,,,,,,,,,1.0,2.0,1.0,,,,,,
2035,04380301901008,5.0,,,,,,,,,1.0,2.0,1.0,,,,,,
2036,04380301901009,5.0,,,,,,,,,1.0,2.0,1.0,,,,,,
2037,04380301901010,5.0,,,,,,,,,1.0,2.0,1.0,,,,,,
2038,04380301901011,5.0,,,,,,,,,1.0,2.0,1.0,,,,,,
2039,04380301901012,5.0,,,,,,,,,1.0,2.0,1.0,,,,,,
2040,04380304202001,1.0,1.0,2.0,888.0,555.0,1.0,,,,2.0,,,,,,,,
2041,04380304202002,2.0,2.0,2.0,1.0,,,,,,1.0,2.0,2.0,1.0,,,,,
2042,04380304202003,1.0,2.0,2.0,2.0,555.0,2.0,3.0,1.0,,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,
2043,04380304202007,5.0,,,,,,,,,1.0,2.0,1.0,,,,,,
2044,04380304202008,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,
2045,04380304202009,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2046,04380304202010,5.0,,,,,,,,,1.0,1.0,1.0,,,,,,
2047,04380304202011,1.0,2.0,1.0,,,,,,,2.0,,,,,,,,
2048,04380304202012,1.0,2.0,1.0,,,,,,,2.0,,,,,,,,
2049,04380801605001,1.0,1.0,1.0,,,,,,,3.0,,,,,,,,
2050,04380801605002,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2051,04380801605003,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2052,04380801605004,1.0,1.0,1.0,,,,,,,3.0,,,,,,,,
2053,04380801605005,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2054,04380801605006,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2055,04380801605007,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2056,04380801605008,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2057,04380801605009,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2058,04380801605010,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2059,04380801605011,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2060,04380801605012,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2061,04381000108001,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0
2062,04381000108004,2.0,6.0,2.0,1.0,,,,,,1.0,6.0,2.0,2.0,1.0,1.0,,,
2063,04381000108007,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2064,04381000108015,2.0,6.0,1.0,,,,,,,1.0,6.0,1.0,,,,,,
2065,04381000108039,2.0,4.0,1.0,,,,,,,1.0,4.0,1.0,,,,,,
2066,04381000108063,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,4.0,1.0,,,,,,
2067,04381000108087,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2068,04381000108111,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2069,04381000108135,2.0,7.0,1.0,,,,,,,1.0,7.0,1.0,,,,,,
2070,04381000108159,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2071,04381000108183,2.0,4.0,1.0,,,,,,,1.0,4.0,1.0,,,,,,
2072,04381000108207,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,3.0,1.0,,,,,,
2073,04381001704001,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2074,04381001704002,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2075,04381001704003,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2076,04381001704004,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2077,04381001704005,1.0,2.0,1.0,,,,,,,2.0,,,,,,,,
2078,04381001704006,1.0,2.0,1.0,,,,,,,2.0,,,,,,,,
2079,04381001704007,1.0,2.0,1.0,,,,,,,2.0,,,,,,,,
2080,04381001704008,1.0,2.0,1.0,,,,,,,2.0,,,,,,,,
2081,04381001704009,1.0,1.0,1.0,,,,,,,3.0,,,,,,,,
2082,04381001704010,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,
2083,04381001704011,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
2084,04381001704012,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2085,04381100116001,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,,,,,,,,
2086,04381100116002,2.0,1.0,1.0,,,,,,,2.0,,,,,,,,
2087,04381100116003,5.0,,,,,,,,,4.0,,,,,,,,
2088,04381100116004,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2089,04381100116005,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
2090,04381100116006,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
2091,04381100116007,4.0,,,,,,,,,3.0,,,,,,,,
2092,04381100116008,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
2093,04381100116009,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2094,04381100116010,4.0,,,,,,,,,3.0,,,,,,,,
2095,04381100116011,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2096,04381100116012,2.0,1.0,1.0,,,,,,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
2097,04381100402001,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,,,,,,,,
2098,04381100402002,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2099,04381100402003,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2100,04381100402004,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,
2101,04381100402005,1.0,2.0,2.0,1.0,,,,,,1.0,2.0,1.0,,,,,,
2102,04381100402006,1.0,1.0,1.0,,,,,,,3.0,,,,,,,,
2103,04381100402007,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2104,04381100402008,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2105,04381100402009,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2106,04381100402010,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
2107,04381100402011,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2108,04381100402012,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
2109,04381100521008,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2110,04381100521017,4.0,,,,,,,,,3.0,,,,,,,,
2111,04381100521026,1.0,1.0,2.0,1.0,,,,,,1.0,1.0,1.0,,,,,,
2112,04381100521035,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
2113,04381100521044,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
2114,04381100521053,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
2115,04381100521062,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
2116,04381100521071,4.0,,,,,,,,,3.0,,,,,,,,
2117,04381100521080,4.0,,,,,,,,,3.0,,,,,,,,
2118,04381100521089,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
2119,04381100521098,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
2120,04381100521107,4.0,,,,,,,,,3.0,,,,,,,,
2121,04381100716002,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
2122,04381100716003,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
2123,04381100716006,1.0,1.0,1.0,,,,,,,3.0,,,,,,,,
2124,04381100716012,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,
2125,04381100716016,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
2126,04381100716028,1.0,1.0,1.0,,,,,,,3.0,,,,,,,,
2127,04381100716042,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2128,04381100716060,1.0,1.0,1.0,,,,,,,3.0,,,,,,,,
2129,04381100716078,1.0,1.0,1.0,,,,,,,3.0,,,,,,,,
2130,04381100716096,1.0,3.0,1.0,,,,,,,3.0,,,,,,,,
2131,04381100716114,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2132,04381100716132,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2133,04390300402001,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,
2134,04390300402002,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,
2135,04390300402003,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2136,04390300402004,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2137,04390300402005,1.0,1.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2138,04390300402006,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2139,04390300402007,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2140,04390300402008,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2141,04390300402009,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,
2142,04390300402010,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2143,04390300402011,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2144,04390300402012,1.0,,,,,,,,,1.0,2.0,1.0,,,,,,
2145,04390300601001,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2146,04390300601002,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2147,04390300601003,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,
2148,04390300601004,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2149,04390300601005,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2150,04390300601006,2.0,,,,,,,,,1.0,2.0,1.0,,,,,,
2151,04390300601007,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2152,04390300601008,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2153,04390300601009,2.0,,,,,,,,,1.0,2.0,1.0,,,,,,
2154,04390300601010,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2155,04390300601011,1.0,2.0,2.0,2.0,1.0,1.0,,,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,
2156,04390300601012,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,
2157,04390302201001,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,,
2158,04390302201002,2.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,,,,,
2159,04390302201003,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2160,04390302201004,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2161,04390302201005,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2162,04390302201006,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2163,04390302201007,1.0,,,,,,,,,1.0,2.0,1.0,,,,,,
2164,04390302201008,1.0,,,,,,,,,1.0,2.0,1.0,,,,,,
2165,04390302201009,1.0,,,,,,,,,1.0,2.0,1.0,,,,,,
2166,04390302201010,1.0,2.0,1.0,,,,,,,2.0,,,,,,,,
2167,04390302201011,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,
2168,04390302201012,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,
2169,04390700103001,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2170,04390700103002,2.0,1.0,1.0,,,,,,,4.0,,,,,,,,
2171,04390700103003,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2172,04390700103004,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2173,04390700103005,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2174,04390700103006,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2175,04390700103007,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2176,04390700103008,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2177,04390700103009,2.0,1.0,1.0,,,,,,,4.0,,,,,,,,
2178,04390700103010,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2179,04390700103011,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2180,04390700103012,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
2181,04391000302001,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2182,04391000302002,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2183,04391000302003,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2184,04391000302004,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2185,04391000302005,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2186,04391000302006,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2187,04391000302007,1.0,1.0,2.0,1.0,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,,,
2188,04391000302008,1.0,1.0,2.0,2.0,2.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
2189,04391000302009,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,
2190,04391000302010,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,
2191,04391000302011,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2192,04391000302012,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2193,05400100401002,2.0,2.0,1.0,,,,,,,4.0,,,,,,,,
2194,05400100401005,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,4.0,,,,,,,,
2195,05400100401008,1.0,2.0,2.0,1.0,,,,,,4.0,,,,,,,,
2196,05400100401011,1.0,2.0,2.0,2.0,1.0,1.0,,,,4.0,,,,,,,,
2197,05400100401012,1.0,1.0,2.0,2.0,1.0,1.0,,,,4.0,,,,,,,,
2198,05400100401014,2.0,2.0,2.0,2.0,1.0,1.0,,,,4.0,,,,,,,,
2199,05400100401017,2.0,2.0,2.0,2.0,1.0,1.0,,,,4.0,,,,,,,,
2200,05400100401020,2.0,5.0,2.0,2.0,1.0,1.0,,,,4.0,,,,,,,,
2201,05400100401023,2.0,4.0,2.0,2.0,1.0,1.0,,,,4.0,,,,,,,,
2202,05400100401026,2.0,7.0,2.0,2.0,1.0,1.0,,,,4.0,,,,,,,,
2203,05400100401036,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,4.0,,,,,,,,
2204,05400100401060,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,,,,,,,,
2205,05400101201003,2.0,6.0,1.0,,,,,,,4.0,,,,,,,,
2206,05400101201008,2.0,2.0,2.0,2.0,1.0,1.0,,,,4.0,,,,,,,,
2207,05400101201011,1.0,1.0,2.0,1.0,,,,,,1.0,1.0,1.0,,,,,,
2208,05400101201013,2.0,1.0,1.0,,,,,,,4.0,,,,,,,,
2209,05400101201018,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,4.0,,,,,,,,
2210,05400101201023,2.0,2.0,2.0,2.0,1.0,1.0,,,,4.0,,,,,,,,
2211,05400101201028,2.0,1.0,1.0,,,,,,,4.0,,,,,,,,
2212,05400101201033,2.0,1.0,2.0,1.0,,,,,,1.0,9.0,1.0,,,,,,
2213,05400101201034,5.0,,,,,,,,,1.0,9.0,1.0,,,,,,
2214,05400101201038,2.0,1.0,1.0,,,,,,,4.0,,,,,,,,
2215,05400101201043,2.0,7.0,1.0,,,,,,,1.0,1.0,2.0,1.0,,,,,
2216,05400101201057,1.0,1.0,1.0,,,,,,,1.0,6.0,1.0,,,,,,
2217,05400300103005,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2218,05400300103010,1.0,6.0,2.0,2.0,1.0,1.0,,,,4.0,,,,,,,,
2219,05400300103014,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2220,05400300103023,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2221,05400300103030,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,4.0,,,,,,,,
2222,05400300103032,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2223,05400300103041,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2224,05400300103047,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
2225,05400300103050,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2226,05400300103059,2.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,,4.0,,,,,,,,
2227,05400300103068,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,,,,,,,,
2228,05400300103077,2.0,1.0,2.0,2.0,1.0,1.0,,,,4.0,,,,,,,,
2229,05400301101001,2.0,1.0,1.0,,,,,,,1.0,6.0,1.0,,,,,,
2230,05400301101013,1.0,7.0,2.0,1.0,,,,,,1.0,7.0,1.0,,,,,,
2231,05400301101025,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2232,05400301101037,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,7.0,1.0,,,,,,
2233,05400301101049,1.0,10.0,1.0,,,,,,,1.0,10.0,1.0,,,,,,
2234,05400301101061,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
2235,05400301101073,1.0,9.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,,,,,,,,
2236,05400301101085,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,,,,,,,,
2237,05400301101097,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,4.0,,,,,,,,
2238,05400301101109,1.0,2.0,2.0,1.0,,,,,,4.0,,,,,,,,
2239,05400301101121,1.0,4.0,2.0,2.0,1.0,1.0,,,,4.0,,,,,,,,
2240,05400301101133,1.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,,4.0,,,,,,,,
2241,05400401501020,1.0,1.0,2.0,1.0,,,,,,1.0,1.0,2.0,1.0,,,,,
2242,05400401501048,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,1.0,,,
2243,05400401501076,1.0,2.0,2.0,2.0,1.0,1.0,,,,1.0,2.0,2.0,2.0,1.0,1.0,,,
2244,05400401501104,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,
2245,05400401501132,1.0,2.0,2.0,1.0,,,,,,3.0,,,,,,,,
2246,05400401501160,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,1.0,,,
2247,05400401501188,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2248,05400401501216,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2249,05400401501244,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2250,05400401501270,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
2251,05400401501286,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
2252,05400401501302,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2253,05400601201005,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2254,05400601201015,1.0,1.0,1.0,,,,,,,3.0,,,,,,,,
2255,05400601201025,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2256,05400601201035,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2257,05400601201045,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2258,05400601201055,1.0,2.0,1.0,,,,,,,3.0,,,,,,,,
2259,05400601201065,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,
2260,05400601201075,1.0,1.0,1.0,,,,,,,3.0,,,,,,,,
2261,05400601201085,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,1.0,,,
2262,05400601201095,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,2.0,2.0,2.0,1.0,1.0,,,
2263,05400601201105,1.0,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,1.0,,,
2264,05400601201115,1.0,1.0,2.0,2.0,1.0,1.0,,,,3.0,,,,,,,,
2265,05410400405001,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,,,,,,,,
2266,05410400405004,4.0,,,,,,,,,2.0,,,,,,,,
2267,05410400405015,4.0,,,,,,,,,3.0,,,,,,,,
2268,05410400405026,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,,,,,,,,
2269,05410400405037,2.0,2.0,1.0,,,,,,,4.0,,,,,,,,
2270,05410400405048,2.0,2.0,1.0,,,,,,,4.0,,,,,,,,
2271,05410400405059,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,,,,,,,,
2272,05410400405070,2.0,1.0,1.0,,,,,,,4.0,,,,,,,,
2273,05410400405081,2.0,2.0,1.0,,,,,,,4.0,,,,,,,,
2274,05410400405092,2.0,2.0,2.0,2.0,1.0,1.0,,,,4.0,,,,,,,,
2275,05410400405103,2.0,1.0,1.0,,,,,,,4.0,,,,,,,,
2276,05410400405114,5.0,,,,,,,,,4.0,,,,,,,,
2277,05410400634003,4.0,,,,,,,,,3.0,,,,,,,,
2278,05410400634019,2.0,2.0,1.0,,,,,,,2.0,,,,,,,,
