,HHID,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18
130,01030800402132,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
131,01030800402145,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
132,01041100201005,2.0,1.0,1.0,,,,,,,2.0,,,,,,,,
133,01041100201020,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
134,01041100201035,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
135,01041100201050,1.0,,,,,,,,,1.0,1.0,2.0,1.0,,,,,
136,01041100201065,2.0,8.0,1.0,,,,,,,3.0,,,,,,,,
137,01041100201080,2.0,5.0,1.0,,,,,,,3.0,,,,,,,,
138,01041100201095,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
139,01041100201110,4.0,,,,,,,,,1.0,1.0,1.0,,,,,,
140,01041100201125,2.0,2.0,1.0,,,,,,,2.0,,,,,,,,
141,01041100201140,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
142,01041100201155,2.0,3.0,1.0,,,,,,,3.0,,,,,,,,
143,01041100201170,1.0,2.0,1.0,,,,,,,2.0,,,,,,,,
144,01050100110004,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
145,01050100110006,2.0,2.0,1.0,,,,,,,2.0,,,,,,,,
146,01050100110009,2.0,1.0,1.0,,,,,,,2.0,,,,,,,,
147,01050100110013,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
148,01050100110022,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
149,01050100110031,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
150,01050100110040,2.0,1.0,1.0,,,,,,,2.0,,,,,,,,
151,01050100110058,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
152,01050100110067,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
153,01050100110085,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
154,01050100110094,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
155,01050100110103,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
156,01050101108006,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
157,01050101108019,2.0,4.0,1.0,,,,,,,3.0,,,,,,,,
158,01050101108032,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
159,01050101108045,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
160,01050101108058,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
161,01050101108071,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
162,01050101108084,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
163,01050101108097,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
164,01050101108110,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
165,01050101108123,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
166,01050101108136,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
167,01050101108149,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
168,01060100317002,3.0,,,,,,,,,3.0,,,,,,,,
169,01060100317012,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
170,01060100317022,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
171,01060100317032,3.0,,,,,,,,,3.0,,,,,,,,
172,01060100317042,3.0,,,,,,,,,2.0,,,,,,,,
173,01060100317052,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
174,01060100317062,3.0,,,,,,,,,3.0,,,,,,,,
175,01060100317072,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
176,01060100317082,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
177,01060100317092,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
178,01060100317102,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
179,01060100317112,3.0,,,,,,,,,3.0,,,,,,,,
180,01060200127002,4.0,,,,,,,,,3.0,,,,,,,,
181,01060200127003,4.0,,,,,,,,,3.0,,,,,,,,
182,01060200127031,4.0,,,,,,,,,3.0,,,,,,,,
183,01060200127045,2.0,,,,,,,,,3.0,,,,,,,,
184,01060200127058,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
185,01060200127072,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
186,01060200127086,4.0,,,,,,,,,3.0,,,,,,,,
187,01060200127100,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
188,01060200127113,4.0,,,,,,,,,3.0,,,,,,,,
189,01060200127128,4.0,,,,,,,,,3.0,,,,,,,,
190,01060200127142,3.0,,,,,,,,,1.0,2.0,1.0,,,,,,
191,01060200127156,4.0,,,,,,,,,3.0,,,,,,,,
192,01060200506004,4.0,,,,,,,,,3.0,,,,,,,,
193,01060200506015,3.0,,,,,,,,,3.0,,,,,,,,
194,01060200506026,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
195,01060200506037,3.0,,,,,,,,,3.0,,,,,,,,
196,01060200506048,3.0,,,,,,,,,3.0,,,,,,,,
197,01060200506059,3.0,,,,,,,,,3.0,,,,,,,,
198,01060200506070,4.0,,,,,,,,,3.0,,,,,,,,
199,01060200506081,3.0,,,,,,,,,3.0,,,,,,,,
200,01060200506092,3.0,,,,,,,,,3.0,,,,,,,,
201,01060200506103,3.0,,,,,,,,,3.0,,,,,,,,
202,01060200506114,4.0,,,,,,,,,3.0,,,,,,,,
203,01060200506125,3.0,,,,,,,,,3.0,,,,,,,,
204,02070101804001,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,,,,,,,,
205,02070101804011,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,,,,,,,,
206,02070101804021,5.0,,,,,,,,,4.0,,,,,,,,
207,02070101804031,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,,,,,,,,
208,02070101804041,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,,,,,,,,
209,02070101804051,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,,,,,,,,
210,02070101804061,5.0,,,,,,,,,4.0,,,,,,,,
211,02070101804071,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
212,02070101804081,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
213,02070101804091,5.0,,,,,,,,,4.0,,,,,,,,
214,02070101804101,5.0,,,,,,,,,4.0,,,,,,,,
215,02070101804111,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
216,02070101901002,5.0,,,,,,,,,4.0,,,,,,,,
217,02070101901014,5.0,,,,,,,,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
218,02070101901026,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,,,,,,,,
219,02070101901038,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
220,02070101901050,1.0,1.0,1.0,,,,,,,4.0,,,,,,,,
221,02070101901062,1.0,1.0,1.0,,,,,,,4.0,,,,,,,,
222,02070101901074,5.0,,,,,,,,,4.0,,,,,,,,
223,02070101901086,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
224,02070101901098,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
225,02070101901110,5.0,,,,,,,,,4.0,,,,,,,,
226,02070101901122,5.0,,,,,,,,,4.0,,,,,,,,
227,02070101901134,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
228,02070200101003,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
229,02070200101011,4.0,,,,,,,,,4.0,,,,,,,,
230,02070200101019,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,,,,,,,,
231,02070200101027,4.0,,,,,,,,,4.0,,,,,,,,
232,02070200101035,2.0,2.0,1.0,,,,,,,4.0,,,,,,,,
233,02070200101043,4.0,,,,,,,,,4.0,,,,,,,,
234,02070200101051,2.0,1.0,2.0,1.0,,,,,,4.0,,,,,,,,
235,02070200101059,1.0,2.0,1.0,,,,,,,1.0,2.0,2.0,1.0,,,,,
236,02070200101067,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,
237,02070200101075,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,2.0,1.0,,,,,,
238,02070200101083,2.0,2.0,2.0,2.0,1.0,1.0,,,,4.0,,,,,,,,
239,02070200101091,2.0,2.0,1.0,,,,,,,4.0,,,,,,,,
240,02070300104005,2.0,2.0,1.0,,,,,,,4.0,,,,,,,,
241,02070300104016,,,,,,,,,,4.0,,,,,,,,
242,02070300104027,2.0,2.0,2.0,1.0,,,,,,2.0,,,,,,,,
