,HHID,C144,C146_wm,C146_tm,C147_wm,C147_tm,C148_wm,C148_tm,C149,C150,C152,C153,C154,C155,C155_other,C156,C157,C157_other,C158,C159,C160,C161,C162,C163,C164,C165
99,01030300103043,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
100,01030300103056,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
101,01030300103069,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
102,01030300103082,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
103,01030300103095,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
104,01030300103108,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
105,01030300103121,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
106,01030300103134,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
107,01030300103147,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
108,01030600403012,1.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,2007.0,2.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0
109,01030600403017,2.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,1.0,4.0,2008.0,1.0,8.0,,1.0,6.0,,5.0,2.0,,,,1.0,3.0,100.0
110,01030600403036,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
111,01030600403049,1.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2007.0,2.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
112,01030600403072,1.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,1.0,4.0,2007.0,2.0,,,1.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
113,01030600403092,1.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,1.0,4.0,2007.0,1.0,8.0,,1.0,6.0,,5.0,111.0,,,,,,
114,01030600403116,,,,,,,,,,,,,,,,,,1.0,111.0,,,,,,
115,01030600403138,,,,,,,,,,,,,,,,,,1.0,111.0,,,,,,
116,01030600403164,1.0,0.0,3.0,0.0,3.0,0.0,3.0,2.0,1.0,4.0,2007.0,1.0,8.0,,1.0,6.0,,5.0,2.0,,,,1.0,1.0,40.0
117,01030600403173,1.0,1.0,4.0,1.0,4.0,1.0,4.0,2.0,2.0,4.0,2007.0,2.0,,,3.0,6.0,,1.0,111.0,,,,,,
118,01030600403183,1.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,1.0,2.0,2007.0,2.0,,,3.0,555.0,,1.0,111.0,,,,,,
119,01030600403185,1.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,1.0,4.0,2007.0,2.0,,,3.0,555.0,,1.0,111.0,,,,,,
120,01030800402002,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
121,01030800402015,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
122,01030800402028,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0
123,01030800402041,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
124,01030800402054,1.0,1.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2007.0,2.0,,,3.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
125,01030800402067,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
126,01030800402080,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
127,01030800402093,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
128,01030800402106,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
129,01030800402119,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
130,01030800402132,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
131,01030800402145,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
132,01041100201005,,,,,,,,,,,,,,,,,,1.0,111.0,,,,,,
133,01041100201020,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
134,01041100201035,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
135,01041100201050,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
136,01041100201065,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
137,01041100201080,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
138,01041100201095,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
139,01041100201110,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
140,01041100201125,,,,,,,,,,,,,,,,,,1.0,111.0,,,,,,
141,01041100201140,1.0,1.0,4.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,,2.0,,,2.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
142,01041100201155,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
143,01041100201170,,,,,,,,,,,,,,,,,,1.0,111.0,,,,,,
144,01050100110004,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
145,01050100110006,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
146,01050100110009,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
147,01050100110013,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
148,01050100110022,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
149,01050100110031,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
150,01050100110040,1.0,1.0,4.0,1.0,4.0,1.0,4.0,2.0,2.0,2.0,,2.0,,,2.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
151,01050100110058,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,2.0,,,2.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
152,01050100110067,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
153,01050100110085,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,,2.0,,,2.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
154,01050100110094,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
155,01050100110103,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
156,01050101108006,1.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2007.0,2.0,,,2.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
157,01050101108019,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2008.0,2.0,,,2.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
158,01050101108032,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
159,01050101108045,1.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2007.0,2.0,,,2.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
160,01050101108058,1.0,3.0,4.0,1.0,4.0,3.0,4.0,2.0,1.0,1.0,2006.0,2.0,,,2.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
161,01050101108071,1.0,3.0,8.0,2.0,4.0,3.0,8.0,2.0,1.0,2.0,2006.0,2.0,,,2.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
