,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,A8,Item,KE_a,KE_b,KE_73,KE_74,KE_75
100,14750400317,14,75,4,3,17,1,7,4,2,,1.0,1.0,
101,14750401001,14,75,4,10,1,1,1,4,2,,2.0,1.0,
102,15710100415,15,71,1,4,15,1,5,4,2,,1.0,6.0,
103,15710100605,15,71,1,6,5,1,1,4,2,,1.0,2.0,
104,04311201223,4,31,12,12,23,2,23,5,1,1.0,,,1.0
105,15710100415,15,71,1,4,15,1,5,5,1,6.0,,,2.0
106,15710100605,15,71,1,6,5,1,1,5,1,24.0,,,2.0
107,01020600113,1,2,6,1,13,1,8,5,2,,2.0,6.0,
108,03141800910,3,14,18,9,10,1,2,5,2,,1.0,1.0,
109,03180100101,3,18,1,1,1,1,1,5,2,,2.0,1.0,
110,03200100113,3,20,1,1,13,2,9,5,2,,1.0,1.0,
111,03210100412,3,21,1,4,12,1,1,5,2,,2.0,1.0,
112,04290100110,4,29,1,1,10,1,2,5,2,,2.0,5.0,
113,04290100110,4,29,1,1,10,1,3,5,2,,2.0,5.0,
114,04290100110,4,29,1,1,10,1,4,5,2,,2.0,1.0,
115,04300400106,4,30,4,1,6,1,6,5,2,,2.0,1.0,
116,04300800105,4,30,8,1,5,2,8,5,2,,2.0,1.0,
117,04300802504,4,30,8,25,4,2,4,5,2,,2.0,1.0,
118,04330600803,4,33,6,8,3,2,5,5,2,,2.0,1.0,
119,04340300103,4,34,3,1,3,1,3,5,2,,2.0,1.0,
120,04380100110,4,38,1,1,10,1,16,5,2,,2.0,1.0,
121,04380100203,4,38,1,2,3,1,3,5,2,,2.0,1.0,
122,04381100116,4,38,11,1,16,1,1,5,2,,2.0,1.0,
123,06470300204,6,47,3,2,4,1,1,5,2,,2.0,1.0,
124,06470300314,6,47,3,3,14,1,1,5,2,,1.0,1.0,
125,06490800103,6,49,8,1,3,1,1,5,2,,2.0,1.0,
126,07661900703,7,66,19,7,3,1,1,5,2,,2.0,5.0,
127,13700101407,13,70,1,14,7,1,1,5,2,,2.0,1.0,
128,14750400317,14,75,4,3,17,1,7,5,2,,2.0,2.0,
129,14750401001,14,75,4,10,1,1,1,5,2,,1.0,1.0,
130,01020600113,1,2,6,1,13,1,8,6,2,,2.0,6.0,
131,03141800910,3,14,18,9,10,1,2,6,2,,2.0,1.0,
132,03180100101,3,18,1,1,1,1,1,6,2,,2.0,1.0,
133,03200100113,3,20,1,1,13,2,9,6,2,,1.0,1.0,
134,03210100412,3,21,1,4,12,1,1,6,2,,2.0,1.0,
135,04290100110,4,29,1,1,10,1,2,6,2,,2.0,5.0,
136,04290100110,4,29,1,1,10,1,3,6,2,,2.0,5.0,
137,04290100110,4,29,1,1,10,1,4,6,2,,2.0,1.0,
138,04300400106,4,30,4,1,6,1,6,6,2,,2.0,1.0,
