,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,A8,Facility,K4,K5,K6,K7,K10,K11,K12,K13,K15,K16_am,K17_pm,K18,K19,K20,K21,K22,K23,K24,K25,K26_hour,K26_minute,K27,K28,K29,K30,K31,K32_c,K32_u,K33,K34,K35,K36,K37,K38,K39,K40,K41,K42,K43,K44,K45,K46,K47,K48,K49,K50,K51,K52,K53,K54,K55,K56,K57
338,06480200101,6,48,2,1,1,1,1,3,2,2,7.0,5.0,14,20,0.0,,,         2,        11,1,,1.0,5.0,2,3.0,1.0,4.0,6.0,0.0,3.0,2,2.0,1.0,-888.0,-888.0,1.0,2.0,,,,,,,,,,,,1,2,3,2,,7.0,2,2,,,,,
339,07511100224,7,51,11,2,24,1,1,3,1,6,8.0,5.0,12,17,20.0,,,         2,        11,1,,1.0,7.0,2,3.0,1.0,100.0,3.0,60.0,3.0,2,1.0,1.0,3550.0,1.0,1.0,1.0,,,,,,,,,,,,2,2,2,2,,3.0,2,2,,,,,
340,04301301004,4,30,13,10,4,2,4,1,1,5,8.0,4.0,12,6,5.0,,,         2,        11,2,1.0,,2.0,2,888.0,,,,,,2,555.0,555.0,20.0,5.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
341,03180700305,3,18,7,3,5,1,1,1,1,6,8.0,6.0,12,15,23.0,,,         2,        11,1,,1.0,8.0,2,2.0,1.0,2.0,0.0,25.0,2.0,2,1.0,1.0,250.0,0.27,1.0,1.0,,,,,,,,,,,,2,2,3,2,,6.0,2,2,,,,,
342,04320600302,4,32,6,3,2,2,2,1,1,5,3.0,4.0,7,24,12.0,,,         2,        11,2,555.0,,5.0,2,888.0,,,,,,2,2.0,2.0,2000.0,25.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,2.0,2,2,,,,,
343,03121000302,3,12,10,3,2,1,2,3,1,6,1.0,4.0,4,125,1200.0,,,         2,        11,1,,1.0,15.0,2,2.0,1.0,2.0,2.0,30.0,2.0,2,,,250.0,1.0,1.0,1.0,,,,,,,,,,,,1,2,3,1,3.0,3.0,2,2,,,,,
344,07580600101,7,58,6,1,1,2,12,2,2,5,11.0,1.0,15,5,15.0,,,         2,        11,2,7.0,,888.0,2,1.0,,,,,,2,1.0,9.0,40.0,10.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,5.0,2,2,,,,,
345,07610101505,7,61,1,15,5,2,11,1,1,5,8.0,3.0,12,1,20.0,,,         3,        11,2,7.0,,0.0,2,1.0,,,,,,2,1.0,,20.0,18.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,5.0,2,2,,,,,
346,03150800103,3,15,8,1,3,1,1,2,1,6,1.0,10.0,1,22,760.0,,,         2,        11,1,,1.0,9.0,2,2.0,1.0,5.0,3.0,30.0,2.0,2,1.0,1.0,100.0,0.6,1.0,1.0,,,,,,,,,,,,1,2,3,2,,3.0,2,2,,,,,
347,07500600204,7,50,6,2,4,2,2,1,1,6,8.0,7.0,15,7,40.0,,,         2,        11,2,7.0,,0.0,2,1.0,,,,,,2,1.0,9.0,40.0,10.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,5.0,2,2,,,,,
