,HHID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,HI_7new,HI_14,eaid,A0,zone_csa,wereda_name
75,01020901705050,1,2,9,17,5,2,50,13/02/17,1020988801705.0,6,2,DEGUA TEMBEN
76,01020901705066,1,2,9,17,5,2,66,13/02/17,1020988801705.0,5,2,DEGUA TEMBEN
77,01020901705082,1,2,9,17,5,2,82,13/02/17,1020988801705.0,5,2,DEGUA TEMBEN
78,01020901705098,1,2,9,17,5,2,98,13/02/17,1020988801705.0,7,2,DEGUA TEMBEN
79,01020901705114,1,2,9,17,5,2,114,13/02/17,1020988801705.0,6,2,DEGUA TEMBEN
80,01020901705130,1,2,9,17,5,2,130,13/02/17,1020988801705.0,7,2,DEGUA TEMBEN
81,01020901705146,1,2,9,17,5,2,146,13/02/17,1020988801705.0,6,2,DEGUA TEMBEN
82,01020901705162,1,2,9,17,5,2,162,13/02/17,1020988801705.0,7,2,DEGUA TEMBEN
83,01020901705178,1,2,9,17,5,2,178,15/02/17,1020988801705.0,3,2,DEGUA TEMBEN
84,01021200418002,1,2,12,4,18,1,2,05/02/17,1021210100418.0,2,2,ADWA-TOWN
85,01021200418013,1,2,12,4,18,1,13,05/02/17,1021210100418.0,3,2,ADWA-TOWN
86,01021200418024,1,2,12,4,18,1,24,05/02/17,1021210100418.0,7,2,ADWA-TOWN
87,01021200418035,1,2,12,4,18,1,35,05/02/17,1021210100418.0,1,2,ADWA-TOWN
88,01021200418046,1,2,12,4,18,1,46,06/02/17,1021210100418.0,7,2,ADWA-TOWN
89,01021200418057,1,2,12,4,18,1,57,06/02/17,1021210100418.0,4,2,ADWA-TOWN
90,01021200418068,1,2,12,4,18,1,68,06/02/17,1021210100418.0,3,2,ADWA-TOWN
91,01021200418079,1,2,12,4,18,1,79,06/02/17,1021210100418.0,6,2,ADWA-TOWN
92,01021200418090,1,2,12,4,18,1,90,07/02/17,1021210100418.0,6,2,ADWA-TOWN
93,01021200418101,1,2,12,4,18,1,101,07/02/17,1021210100418.0,3,2,ADWA-TOWN
94,01021200418112,1,2,12,4,18,1,112,07/02/17,1021210100418.0,2,2,ADWA-TOWN
95,01021200418123,1,2,12,4,18,1,123,07/02/17,1021210100418.0,1,2,ADWA-TOWN
96,01030300103004,1,3,3,1,3,1,4,30/01/17,1030320100103.0,4,3,SAESI TSADAMBA
97,01030300103017,1,3,3,1,3,1,17,30/01/17,1030320100103.0,4,3,SAESI TSADAMBA
98,01030300103030,1,3,3,1,3,1,30,30/01/17,1030320100103.0,7,3,SAESI TSADAMBA
99,01030300103043,1,3,3,1,3,1,43,30/01/17,1030320100103.0,4,3,SAESI TSADAMBA
100,01030300103056,1,3,3,1,3,1,56,31/01/17,1030320100103.0,3,3,SAESI TSADAMBA
101,01030300103069,1,3,3,1,3,1,69,31/01/17,1030320100103.0,8,3,SAESI TSADAMBA
102,01030300103082,1,3,3,1,3,1,82,31/01/17,1030320100103.0,8,3,SAESI TSADAMBA
103,01030300103095,1,3,3,1,3,1,95,31/01/17,1030320100103.0,3,3,SAESI TSADAMBA
104,01030300103108,1,3,3,1,3,1,108,01/02/17,1030320100103.0,4,3,SAESI TSADAMBA
105,01030300103121,1,3,3,1,3,1,121,01/02/17,1030320100103.0,6,3,SAESI TSADAMBA
106,01030300103134,1,3,3,1,3,1,134,01/02/17,1030320100103.0,2,3,SAESI TSADAMBA
107,01030300103147,1,3,3,1,3,1,147,01/02/17,1030320100103.0,7,3,SAESI TSADAMBA
108,01030600403012,1,3,6,4,3,2,12,12/02/17,1030688800403.0,5,3,KLITE AWLALO
109,01030600403017,1,3,6,4,3,2,17,11/02/17,1030688800403.0,5,3,KLITE AWLALO
110,01030600403036,1,3,6,4,3,2,36,11/02/17,1030688800403.0,5,3,KLITE AWLALO
111,01030600403049,1,3,6,4,3,2,49,12/02/17,1030688800403.0,4,3,KLITE AWLALO
