,HHID,G2,G3,G4,G5,G6,G7,G8,G9,G10
293,01020600113083,4,2,,,,,,,
294,01020600113083,5,2,,,,,,,
295,01020600113091,1,2,,,,,,,
296,01020600113091,2,2,,,,,,,
297,01020600113091,3,2,,,,,,,
298,01020600113091,4,2,,,,,,,
299,01020600113091,5,2,,,,,,,
300,01020801604004,1,2,,,,,,,
301,01020801604004,2,2,,,,,,,
302,01020801604004,3,2,,,,,,,
303,01020801604004,4,2,,,,,,,
304,01020801604004,5,2,,,,,,,
305,01020801604014,1,2,,,,,,,
306,01020801604014,2,2,,,,,,,
307,01020801604014,3,2,,,,,,,
308,01020801604014,4,2,,,,,,,
309,01020801604014,5,2,,,,,,,
310,01020801604024,1,2,,,,,,,
311,01020801604024,2,2,,,,,,,
312,01020801604024,3,2,,,,,,,
313,01020801604024,4,2,,,,,,,
314,01020801604024,5,2,,,,,,,
315,01020801604034,1,2,,,,,,,
316,01020801604034,2,2,,,,,,,
317,01020801604034,3,2,,,,,,,
318,01020801604034,4,2,,,,,,,
319,01020801604034,5,2,,,,,,,
320,01020801604044,1,2,,,,,,,
321,01020801604044,2,1,1.0,25.0,5.0,3.0,4.0,50.0,2.0
322,01020801604044,3,2,,,,,,,
323,01020801604044,4,2,,,,,,,
324,01020801604044,5,2,,,,,,,
325,01020801604054,1,2,,,,,,,
326,01020801604054,2,1,2.0,50.0,4.0,3.0,4.0,50.0,2.0
327,01020801604054,3,2,,,,,,,
328,01020801604054,4,2,,,,,,,
329,01020801604054,5,2,,,,,,,
330,01020801604064,1,2,,,,,,,
331,01020801604064,2,1,1.0,40.0,1.0,2.0,4.0,40.0,2.0
332,01020801604064,3,2,,,,,,,
333,01020801604064,4,2,,,,,,,
334,01020801604064,5,2,,,,,,,
335,01020801604074,1,2,,,,,,,
336,01020801604074,2,1,1.0,40.0,8.0,1.0,4.0,25.0,2.0
337,01020801604074,3,2,,,,,,,
338,01020801604074,4,2,,,,,,,
339,01020801604074,5,2,,,,,,,
340,01020801604084,1,2,,,,,,,
341,01020801604084,2,2,,,,,,,
342,01020801604084,3,2,,,,,,,
343,01020801604084,4,2,,,,,,,
344,01020801604084,5,2,,,,,,,
345,01020801604100,1,2,,,,,,,
346,01020801604100,2,2,,,,,,,
347,01020801604100,3,2,,,,,,,
348,01020801604100,4,2,,,,,,,
349,01020801604100,5,2,,,,,,,
350,01020801604135,1,2,,,,,,,
351,01020801604135,2,1,1.0,150.0,6.0,4.0,8.0,80.0,1.0
352,01020801604135,3,2,,,,,,,
353,01020801604135,4,2,,,,,,,
354,01020801604135,5,2,,,,,,,
355,01020801604170,1,2,,,,,,,
356,01020801604170,2,2,,,,,,,
357,01020801604170,3,2,,,,,,,
358,01020801604170,4,2,,,,,,,
359,01020801604170,5,2,,,,,,,
360,01020901705002,1,2,,,,,,,
361,01020901705002,2,1,1.0,45.0,6.0,3.0,6.0,60.0,2.0
362,01020901705002,3,2,,,,,,,
363,01020901705002,4,2,,,,,,,
364,01020901705002,5,2,,,,,,,
365,01020901705018,1,2,,,,,,,
366,01020901705018,2,1,1.0,45.0,6.0,3.0,8.0,80.0,1.0
367,01020901705018,3,2,,,,,,,
368,01020901705018,4,2,,,,,,,
369,01020901705018,5,2,,,,,,,
370,01020901705034,1,2,,,,,,,
371,01020901705034,2,1,1.0,35.0,3.0,2.0,6.0,60.0,2.0
372,01020901705034,3,2,,,,,,,
373,01020901705034,4,2,,,,,,,
374,01020901705034,5,2,,,,,,,
375,01020901705050,1,2,,,,,,,
376,01020901705050,2,2,,,,,,,
377,01020901705050,3,2,,,,,,,
378,01020901705050,4,2,,,,,,,
379,01020901705050,5,2,,,,,,,
380,01020901705066,1,2,,,,,,,
381,01020901705066,2,2,,,,,,,
382,01020901705066,3,2,,,,,,,
383,01020901705066,4,2,,,,,,,
384,01020901705066,5,2,,,,,,,
385,01020901705082,1,2,,,,,,,
386,01020901705082,2,2,,,,,,,
387,01020901705082,3,2,,,,,,,
388,01020901705082,4,2,,,,,,,
389,01020901705082,5,2,,,,,,,
390,01020901705098,1,2,,,,,,,
391,01020901705098,2,1,2.0,50.0,5.0,4.0,4.0,50.0,2.0
392,01020901705098,3,2,,,,,,,
393,01020901705098,4,2,,,,,,,
394,01020901705098,5,2,,,,,,,
395,01020901705114,1,2,,,,,,,
396,01020901705114,2,1,2.0,30.0,5.0,3.0,6.0,60.0,2.0
397,01020901705114,3,2,,,,,,,
398,01020901705114,4,2,,,,,,,
399,01020901705114,5,2,,,,,,,
400,01020901705130,1,2,,,,,,,
401,01020901705130,2,1,1.0,30.0,4.0,3.0,4.0,50.0,2.0
402,01020901705130,3,2,,,,,,,
403,01020901705130,4,2,,,,,,,
404,01020901705130,5,2,,,,,,,
405,01020901705146,1,2,,,,,,,
406,01020901705146,2,1,3.0,60.0,5.0,3.0,4.0,50.0,2.0
407,01020901705146,3,2,,,,,,,
408,01020901705146,4,2,,,,,,,
409,01020901705146,5,2,,,,,,,
410,01020901705162,1,2,,,,,,,
411,01020901705162,2,2,,,,,,,
412,01020901705162,3,2,,,,,,,
413,01020901705162,4,2,,,,,,,
414,01020901705162,5,2,,,,,,,
415,01020901705178,1,2,,,,,,,
416,01020901705178,2,2,,,,,,,
417,01020901705178,3,2,,,,,,,
418,01020901705178,4,2,,,,,,,
419,01020901705178,5,2,,,,,,,
420,01021200418002,1,2,,,,,,,
421,01021200418002,2,2,,,,,,,
422,01021200418002,3,2,,,,,,,
423,01021200418002,4,2,,,,,,,
424,01021200418002,5,2,,,,,,,
425,01021200418013,1,2,,,,,,,
426,01021200418013,2,2,,,,,,,
427,01021200418013,3,2,,,,,,,
428,01021200418013,4,2,,,,,,,
429,01021200418013,5,2,,,,,,,
430,01021200418024,1,2,,,,,,,
431,01021200418024,2,2,,,,,,,
432,01021200418024,3,2,,,,,,,
433,01021200418024,4,2,,,,,,,
434,01021200418024,5,2,,,,,,,
435,01021200418035,1,2,,,,,,,
436,01021200418035,2,2,,,,,,,
437,01021200418035,3,2,,,,,,,
438,01021200418035,4,2,,,,,,,
439,01021200418035,5,2,,,,,,,
440,01021200418046,1,2,,,,,,,
441,01021200418046,2,2,,,,,,,
442,01021200418046,3,2,,,,,,,
443,01021200418046,4,2,,,,,,,
444,01021200418046,5,2,,,,,,,
445,01021200418057,1,2,,,,,,,
446,01021200418057,2,2,,,,,,,
447,01021200418057,3,2,,,,,,,
448,01021200418057,4,2,,,,,,,
449,01021200418057,5,2,,,,,,,
450,01021200418068,1,2,,,,,,,
451,01021200418068,2,2,,,,,,,
452,01021200418068,3,2,,,,,,,
453,01021200418068,4,2,,,,,,,
454,01021200418068,5,2,,,,,,,
455,01021200418079,1,2,,,,,,,
456,01021200418079,2,2,,,,,,,
457,01021200418079,3,2,,,,,,,
458,01021200418079,4,2,,,,,,,
459,01021200418079,5,2,,,,,,,
460,01021200418090,1,2,,,,,,,
461,01021200418090,2,2,,,,,,,
462,01021200418090,3,2,,,,,,,
463,01021200418090,4,2,,,,,,,
464,01021200418090,5,2,,,,,,,
465,01021200418101,1,2,,,,,,,
466,01021200418101,2,2,,,,,,,
467,01021200418101,3,2,,,,,,,
468,01021200418101,4,2,,,,,,,
469,01021200418101,5,2,,,,,,,
470,01021200418112,1,2,,,,,,,
471,01021200418112,2,2,,,,,,,
472,01021200418112,3,2,,,,,,,
473,01021200418112,4,2,,,,,,,
474,01021200418112,5,2,,,,,,,
