,HHID,T5
1210,04300802504006,1
1211,04300802504012,1
1212,04301301004001,1
1213,04301301004006,1
1214,04301301004011,1
1215,04301301004012,1
1216,04310302803001,1
1217,04310302803004,1
1218,04310302803006,1
1219,04310302803008,1
1220,04310302803009,1
1221,04310302803011,1
1222,04311102101001,1
1223,04311102101002,1
1224,04311102101003,1
1225,04311102101004,1
1226,04311102101005,1
1227,04311102101007,1
1228,04311102101008,1
1229,04311102101010,2
1230,04311102101011,1
1231,04311102101012,2
1232,04311103311001,1
1233,04311103311002,1
1234,04311103311003,1
1235,04311103311005,1
1236,04311103311006,1
1237,04311103311007,1
1238,04311103311009,1
1239,04311103311010,1
1240,04311103311012,1
1241,04311200105003,1
1242,04311200105004,1
1243,04311200105005,1
1244,04311200105007,1
1245,04311200105008,1
1246,04311200105012,1
1247,04320400608002,1
1248,04320400608004,1
1249,04320400608005,2
1250,04320400608007,2
1251,04320400608009,1
1252,04320400608011,1
1253,04320501610001,1
1254,04320501610002,1
1255,04320501610003,1
1256,04320501610004,1
1257,04320501610005,1
1258,04320501610006,1
1259,04320501610007,2
1260,04320501610008,1
1261,04320501610009,1
1262,04320501610010,1
1263,04320501610011,2
1264,04320501610012,2
1265,04320600302001,1
1266,04320600302002,1
1267,04320600302003,1
1268,04320600302004,1
1269,04320600302005,1
1270,04320600302006,1
1271,04320600302007,1
1272,04320600302008,1
1273,04320600302009,1
1274,04320600302010,2
1275,04320600302012,1
1276,04321100307002,1
1277,04321100307003,1
1278,04321100307004,1
1279,04321100307005,1
1280,04321100307006,1
1281,04321100307007,1
1282,04321100307008,1
1283,04321100307009,1
1284,04321100307010,1
1285,04321100307011,2
1286,04321100307012,1
1287,04321100505001,1
1288,04321100505002,1
1289,04321100505003,1
1290,04321100505004,1
1291,04321100505005,1
1292,04321100505006,1
1293,04321100505007,1
1294,04321100505008,1
1295,04321100505009,1
1296,04321100505010,1
1297,04321100505012,5
1298,04321200208020,1
1299,04321200208033,1
1300,04321200208046,1
1301,04321200208085,1
1302,04321200208098,1
1303,04321200208111,1
1304,04321200208124,1
1305,04321200208150,1
1306,04321401003001,1
1307,04321401003002,1
1308,04321401003003,1
1309,04321401003004,1
1310,04321401003005,1
1311,04321401003006,1
1312,04321401003007,1
1313,04321401003008,1
1314,04321401003009,1
1315,04321401003010,1
1316,04321401003011,1
1317,04321401003012,1
1318,04321600405001,1
1319,04321600405002,1
1320,04321600405003,1
1321,04321600405004,1
1322,04321600405005,2
1323,04321600405006,1
1324,04321600405008,1
1325,04321600405009,1
1326,04321600405010,7
1327,04321600405011,1
1328,04321600405011,9
1329,04321600405012,4
1330,04321801602001,1
1331,04321801602002,1
1332,04321801602003,1
1333,04321801602004,1
1334,04321801602005,1
1335,04321801602006,1
1336,04321801602007,2
1337,04321801602011,1
1338,04321801602012,1
1339,04330600803003,1
1340,04330600803018,1
1341,04330600803033,1
1342,04330600803048,1
1343,04330600803063,1
1344,04330600803078,1
1345,04330600803093,1
1346,04330600803108,1
1347,04330600803123,1
1348,04330600803138,1
1349,04330600803153,1
1350,04330600803168,1
1351,04330801809005,1
1352,04330801809021,1
1353,04330801809037,1
1354,04330801809053,1
1355,04330801809069,1
1356,04330801809085,1
1357,04330801809101,1
1358,04330801809117,1
