,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,J9,a8
97,04381100606,4,38,11,6,6,1,4,6
98,05420299912,5,42,2,999,12,1,2,5
99,05420299912,5,42,2,999,12,1,3,5
100,05420299912,5,42,2,999,12,1,4,5
101,06460701104,6,46,7,11,4,2,2,12
102,06460701104,6,46,7,11,4,2,3,12
103,07511100224,7,51,11,2,24,1,3,1
104,07511100224,7,51,11,2,24,1,4,1
105,07530400605,7,53,4,6,5,1,2,1
106,07550200109,7,55,2,1,9,1,3,1
107,07551300102,7,55,13,1,2,1,2,1
108,07551300102,7,55,13,1,2,1,3,1
109,07551300206,7,55,13,2,6,1,2,1
110,07551300206,7,55,13,2,6,1,3,1
111,07610101505,7,61,1,15,5,2,4,11
112,07610101505,7,61,1,15,5,2,5,11
113,07661900106,7,66,19,1,6,1,2,1
114,07661900106,7,66,19,1,6,1,3,1
115,07661900106,7,66,19,1,6,1,5,1
116,07661900421,7,66,19,4,21,1,6,1
117,13700101407,13,70,1,14,7,1,1,9
118,13700101407,13,70,1,14,7,1,3,9
119,13700101407,13,70,1,14,7,1,4,9
120,13700101407,13,70,1,14,7,1,5,9
121,14720100113,14,72,1,1,13,1,2,2
122,14720100113,14,72,1,1,13,1,3,2
123,14720100211,14,72,1,2,11,1,2,4
124,14720100211,14,72,1,2,11,1,3,4
125,14720100211,14,72,1,2,11,1,4,4
126,14720100326,14,72,1,3,26,1,2,3
127,14720100326,14,72,1,3,26,1,3,3
128,14720100326,14,72,1,3,26,1,4,3
129,14750400317,14,75,4,3,17,1,4,4
130,14750400612,14,75,4,6,12,1,2,5
131,14750400612,14,75,4,6,12,1,3,5
132,14750401001,14,75,4,10,1,1,2,7
133,14760500802,14,76,5,8,2,1,3,11
134,15710100415,15,71,1,4,15,1,1,9
135,15710100605,15,71,1,6,5,1,3,10
136,15710100810,15,71,1,8,10,1,2,11
137,15710100810,15,71,1,8,10,1,3,11
138,15710100810,15,71,1,8,10,1,4,11
