Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Albania,ALB,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,..,..,..,..,..,..,..,..,..,..,..,42.8571428571429,37.9310344827586,33.7837837837838,31.5789473684211,28.0898876404494,25.4901960784314,23.4782608695652,22.5806451612903,21.1678832116788,20.5921938088829,18.6666666666667,16.9986719787517,15.3439153439153,26.3115415657789,32.3164918970448,20.4661182922052,23.7770193401593,26.2299196787149,25.3456221198157,13.5922330097087,7.85751702462022,4.94991160872127,6.09237744403514,4.31362598325298,6.01386094343841,4.27950518221331,3.82555470543229,3.67978077901742,2.67084177564929,3.8509836751779,4.6916890080429,6.04601391118245,2.14342948717949,2.49732429539779,1.28605548410803,1.68356263577118,2.51748251748252,0,0.0192233756247597,0.0132135306553911,1.4077785731329,0,0,0,0,..,..,..,..,..
Albania,ALB,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
Albania,ALB,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
Albania,ALB,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.4077669902913,92.1424829753798,95.0500883912787,93.9076225559649,95.686374016747,93.9861390565616,95.7204948177867,96.1744452945677,96.3202192209826,97.3291582243507,96.1490163248221,95.3083109919571,93.9539860888176,97.8565705128205,97.5026757046022,98.713944515892,98.3164373642288,97.4825174825175,100,99.9807766243752,99.9867864693446,98.5922214268671,100,100,100,100,..,..,..,..,..
Albania,ALB,Time required to get electricity (days),IC.ELC.TIME,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,177,177,177,177,177,177,177,134,71,71,71,..
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.3,98.8175735473633,98.8218383789063,98.8479919433594,98.7646604654583,98.9772567749023,99.0740356445313,99.1868896484375,99.4028701782227,99.6151351928711,99.6419219970703,99.5,..
Algeria,DZA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.9352859575915,97.4294093337376,97.2867652034229,97.2080482033267,97.6737324903913,97.3222043783096,97.5048727781051,97.757974343332,98.3889001650303,99.0372361760154,98.9619459198031,98.6810562530181,..
Algeria,DZA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,99.5066909790039,99.5596008300781,99.6113891601563,99.2567375886525,99.7009735107422,99.7394790649414,99.7748489379883,99.8078536987305,99.8392944335938,99.8981781005859,99.8,..
Algeria,DZA,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,..,..,..,..,..,..,..,..,..,..,..,35.6228172293364,34.4398340248963,33.3939945404914,34.8408710217755,37.7859778597786,37.32747804266,39.8419864559819,42.7509293680297,45.6803856136448,46.3036422646953,48.0847088134538,51.7268445839874,54.5671927307508,50.0490196078431,46.6951973371374,50,47.8989813242784,50.5955986270947,50.6763577629719,45.1329163408913,43.9956132334125,43.7932289770659,44.6012702893437,45.6959706959707,46.7462039045553,46.865889212828,49.4998213647731,48.2872543905408,48.1037596453784,47.4386079037242,47.9206349206349,47.3800088066931,45.1917732073374,43.2719836400818,42.0787604906391,42.4005945745076,40.0117855038303,40.0340522133939,38.8306323482682,37.9241933799729,38.8698462442464,39.8662690882805,38.4264137688795,38.8269747010494,..,..,..,..,..,..
Algeria,DZA,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
